Plymouth (Devonport)
GMT (+0:00)
Date/Time,Height(m)
01 January 2021 00:51:00,1.07
01 January 2021 07:01:00,5.36
01 January 2021 13:15:00,0.98
01 January 2021 19:23:00,5.09
02 January 2021 01:29:00,1.06
02 January 2021 07:39:00,5.39
02 January 2021 13:54:00,0.98
02 January 2021 20:03:00,5.06
03 January 2021 02:08:00,1.11
03 January 2021 08:19:00,5.36
03 January 2021 14:36:00,1.05
03 January 2021 20:45:00,4.98
04 January 2021 02:51:00,1.23
04 January 2021 09:02:00,5.28
04 January 2021 15:20:00,1.18
04 January 2021 21:29:00,4.88
05 January 2021 03:35:00,1.38
05 January 2021 09:48:00,5.15
05 January 2021 16:10:00,1.34
05 January 2021 22:21:00,4.76
06 January 2021 04:29:00,1.58
06 January 2021 10:42:00,4.99
06 January 2021 17:07:00,1.54
06 January 2021 23:21:00,4.64
07 January 2021 05:31:00,1.77
07 January 2021 11:46:00,4.83
07 January 2021 18:12:00,1.68
08 January 2021 00:28:00,4.59
08 January 2021 06:41:00,1.86
08 January 2021 12:56:00,4.74
08 January 2021 19:22:00,1.72
09 January 2021 01:41:00,4.63
09 January 2021 07:56:00,1.81
09 January 2021 14:11:00,4.74
09 January 2021 20:34:00,1.64
10 January 2021 02:52:00,4.78
10 January 2021 09:09:00,1.63
10 January 2021 15:22:00,4.84
10 January 2021 21:40:00,1.45
11 January 2021 03:55:00,5.00
11 January 2021 10:11:00,1.36
11 January 2021 16:22:00,4.98
11 January 2021 22:35:00,1.24
12 January 2021 04:50:00,5.20
12 January 2021 11:05:00,1.11
12 January 2021 17:17:00,5.11
12 January 2021 23:27:00,1.05
13 January 2021 05:40:00,5.37
13 January 2021 11:54:00,0.91
13 January 2021 18:05:00,5.19
14 January 2021 00:13:00,0.93
14 January 2021 06:24:00,5.47
14 January 2021 12:39:00,0.80
14 January 2021 18:50:00,5.22
15 January 2021 00:56:00,0.89
15 January 2021 07:07:00,5.50
15 January 2021 13:22:00,0.79
15 January 2021 19:31:00,5.19
16 January 2021 01:36:00,0.95
16 January 2021 07:46:00,5.45
16 January 2021 14:01:00,0.89
16 January 2021 20:09:00,5.10
17 January 2021 02:14:00,1.10
17 January 2021 08:23:00,5.33
17 January 2021 14:38:00,1.09
17 January 2021 20:46:00,4.96
18 January 2021 02:51:00,1.32
18 January 2021 09:00:00,5.16
18 January 2021 15:17:00,1.33
18 January 2021 21:24:00,4.79
19 January 2021 03:29:00,1.58
19 January 2021 09:37:00,4.95
19 January 2021 15:55:00,1.60
19 January 2021 22:02:00,4.60
20 January 2021 04:08:00,1.85
20 January 2021 10:17:00,4.73
20 January 2021 16:37:00,1.87
20 January 2021 22:46:00,4.41
21 January 2021 04:52:00,2.10
21 January 2021 11:03:00,4.51
21 January 2021 17:26:00,2.11
21 January 2021 23:38:00,4.25
22 January 2021 05:48:00,2.32
22 January 2021 12:01:00,4.31
22 January 2021 18:27:00,2.28
23 January 2021 00:45:00,4.16
23 January 2021 06:57:00,2.43
23 January 2021 13:10:00,4.21
23 January 2021 19:35:00,2.33
24 January 2021 01:55:00,4.19
24 January 2021 08:10:00,2.39
24 January 2021 14:23:00,4.24
24 January 2021 20:44:00,2.23
25 January 2021 03:02:00,4.35
25 January 2021 09:19:00,2.19
25 January 2021 15:29:00,4.39
25 January 2021 21:45:00,2.02
26 January 2021 04:00:00,4.58
26 January 2021 10:15:00,1.89
26 January 2021 16:24:00,4.59
26 January 2021 22:35:00,1.74
27 January 2021 04:47:00,4.85
27 January 2021 11:02:00,1.56
27 January 2021 17:10:00,4.80
27 January 2021 23:18:00,1.44
28 January 2021 05:29:00,5.11
28 January 2021 11:44:00,1.23
28 January 2021 17:52:00,5.00
28 January 2021 23:59:00,1.16
29 January 2021 06:10:00,5.34
29 January 2021 12:25:00,0.93
29 January 2021 18:34:00,5.17
30 January 2021 00:39:00,0.90
30 January 2021 06:50:00,5.52
30 January 2021 13:04:00,0.72
30 January 2021 19:14:00,5.27
31 January 2021 01:18:00,0.77
31 January 2021 07:29:00,5.62
31 January 2021 13:43:00,0.62
31 January 2021 19:53:00,5.32
01 February 2021 01:57:00,0.71
01 February 2021 08:09:00,5.63
01 February 2021 14:23:00,0.63
01 February 2021 20:33:00,5.29
02 February 2021 02:38:00,0.79
02 February 2021 08:49:00,5.55
02 February 2021 15:04:00,0.79
02 February 2021 21:14:00,5.18
03 February 2021 03:20:00,0.99
03 February 2021 09:31:00,5.37
03 February 2021 15:48:00,1.04
03 February 2021 21:58:00,5.02
04 February 2021 04:07:00,1.27
04 February 2021 10:18:00,5.13
