St. Ives
GMT (+0:00)
Date/Time,Height(m)
01 January 2022 03:26:00,6.01
01 January 2022 09:55:00,1.12
01 January 2022 15:52:00,6.12
01 January 2022 22:21:00,0.95
02 January 2022 04:18:00,6.32
02 January 2022 10:48:00,0.86
02 January 2022 16:43:00,6.32
02 January 2022 23:11:00,0.80
03 January 2022 05:07:00,6.51
03 January 2022 11:38:00,0.70
03 January 2022 17:32:00,6.41
03 January 2022 23:59:00,0.73
04 January 2022 05:55:00,6.59
04 January 2022 12:26:00,0.67
04 January 2022 18:19:00,6.37
05 January 2022 00:46:00,0.81
05 January 2022 06:41:00,6.51
05 January 2022 13:12:00,0.78
05 January 2022 19:06:00,6.21
06 January 2022 01:30:00,0.98
06 January 2022 07:27:00,6.32
06 January 2022 13:58:00,0.98
06 January 2022 19:52:00,5.95
07 January 2022 02:15:00,1.24
07 January 2022 08:14:00,6.02
07 January 2022 14:44:00,1.27
07 January 2022 20:42:00,5.62
08 January 2022 03:02:00,1.57
08 January 2022 09:03:00,5.67
08 January 2022 15:32:00,1.60
08 January 2022 21:32:00,5.28
09 January 2022 03:51:00,1.90
09 January 2022 09:55:00,5.32
09 January 2022 16:24:00,1.90
09 January 2022 22:28:00,5.00
10 January 2022 04:45:00,2.17
10 January 2022 10:51:00,5.03
10 January 2022 17:21:00,2.15
10 January 2022 23:29:00,4.77
11 January 2022 05:48:00,2.38
11 January 2022 11:57:00,4.83
11 January 2022 18:27:00,2.28
12 January 2022 00:39:00,4.71
12 January 2022 06:57:00,2.43
12 January 2022 13:04:00,4.78
12 January 2022 19:32:00,2.27
13 January 2022 01:42:00,4.78
13 January 2022 08:02:00,2.34
13 January 2022 14:06:00,4.86
13 January 2022 20:31:00,2.16
14 January 2022 02:38:00,4.95
14 January 2022 08:58:00,2.17
14 January 2022 14:58:00,5.03
14 January 2022 21:20:00,1.99
15 January 2022 03:24:00,5.17
15 January 2022 09:46:00,1.94
15 January 2022 15:44:00,5.24
15 January 2022 22:05:00,1.79
16 January 2022 04:06:00,5.42
16 January 2022 10:28:00,1.71
16 January 2022 16:24:00,5.44
16 January 2022 22:44:00,1.59
17 January 2022 04:43:00,5.65
17 January 2022 11:07:00,1.50
17 January 2022 17:01:00,5.63
17 January 2022 23:21:00,1.43
18 January 2022 05:18:00,5.84
18 January 2022 11:43:00,1.33
18 January 2022 17:36:00,5.76
18 January 2022 23:57:00,1.31
19 January 2022 05:53:00,5.98
19 January 2022 12:19:00,1.22
19 January 2022 18:12:00,5.84
20 January 2022 00:32:00,1.25
20 January 2022 06:27:00,6.06
20 January 2022 12:54:00,1.16
20 January 2022 18:46:00,5.87
21 January 2022 01:05:00,1.24
21 January 2022 07:02:00,6.07
21 January 2022 13:29:00,1.17
21 January 2022 19:21:00,5.83
22 January 2022 01:41:00,1.30
22 January 2022 07:38:00,6.01
22 January 2022 14:05:00,1.25
22 January 2022 19:59:00,5.71
23 January 2022 02:18:00,1.42
23 January 2022 08:17:00,5.87
23 January 2022 14:45:00,1.39
23 January 2022 20:41:00,5.56
24 January 2022 03:01:00,1.58
24 January 2022 09:01:00,5.69
24 January 2022 15:30:00,1.56
24 January 2022 21:29:00,5.37
25 January 2022 03:49:00,1.77
25 January 2022 09:53:00,5.46
25 January 2022 16:23:00,1.77
25 January 2022 22:26:00,5.17
26 January 2022 04:48:00,1.97
26 January 2022 10:57:00,5.24
26 January 2022 17:29:00,1.93
26 January 2022 23:38:00,5.06
27 January 2022 06:03:00,2.07
27 January 2022 12:14:00,5.14
27 January 2022 18:47:00,1.96
28 January 2022 00:58:00,5.11
28 January 2022 07:26:00,1.99
28 January 2022 13:34:00,5.23
28 January 2022 20:05:00,1.82
29 January 2022 02:13:00,5.35
29 January 2022 08:42:00,1.72
29 January 2022 14:45:00,5.49
29 January 2022 21:13:00,1.54
30 January 2022 03:16:00,5.72
30 January 2022 09:45:00,1.37
30 January 2022 15:44:00,5.81
30 January 2022 22:11:00,1.24
31 January 2022 04:10:00,6.09
31 January 2022 10:41:00,1.03
31 January 2022 16:37:00,6.13
31 January 2022 23:03:00,0.95
01 February 2022 04:59:00,6.41
01 February 2022 11:30:00,0.77
01 February 2022 17:23:00,6.34
01 February 2022 23:49:00,0.79
02 February 2022 05:44:00,6.59
02 February 2022 12:16:00,0.63
02 February 2022 18:08:00,6.43
03 February 2022 00:34:00,0.73
03 February 2022 06:27:00,6.62
03 February 2022 12:58:00,0.65
03 February 2022 18:49:00,6.36
04 February 2022 01:13:00,0.83
04 February 2022 07:07:00,6.49
04 February 2022 13:36:00,0.81
04 February 2022 19:29:00,6.17
05 February 2022 01:51:00,1.04
05 February 2022 07:47:00,6.23
05 February 2022 14:15:00,1.07
05 February 2022 20:09:00,5.87
06 February 2022 02:30:00,1.33
06 February 2022 08:27:00,5.89
