Newquay
GMT (+0:00)
Date/Time,Height(m)
01 January 2022 03:27:00,6.42
01 January 2022 09:59:00,0.92
01 January 2022 15:54:00,6.61
01 January 2022 22:26:00,0.80
02 January 2022 04:19:00,6.78
02 January 2022 10:52:00,0.63
02 January 2022 16:44:00,6.83
02 January 2022 23:16:00,0.61
03 January 2022 05:08:00,7.01
03 January 2022 11:43:00,0.46
03 January 2022 17:33:00,6.94
04 January 2022 00:04:00,0.52
04 January 2022 05:55:00,7.12
04 January 2022 12:31:00,0.43
04 January 2022 18:20:00,6.89
05 January 2022 00:50:00,0.59
05 January 2022 06:42:00,7.04
05 January 2022 13:17:00,0.55
05 January 2022 19:06:00,6.71
06 January 2022 01:35:00,0.76
06 January 2022 07:28:00,6.84
06 January 2022 14:03:00,0.78
06 January 2022 19:54:00,6.42
07 January 2022 02:20:00,1.04
07 January 2022 08:16:00,6.51
07 January 2022 14:50:00,1.11
07 January 2022 20:43:00,6.05
08 January 2022 03:07:00,1.39
08 January 2022 09:06:00,6.11
08 January 2022 15:38:00,1.49
08 January 2022 21:34:00,5.66
09 January 2022 03:56:00,1.76
09 January 2022 09:59:00,5.72
09 January 2022 16:29:00,1.83
09 January 2022 22:29:00,5.33
10 January 2022 04:49:00,2.07
10 January 2022 10:56:00,5.38
10 January 2022 17:26:00,2.12
10 January 2022 23:30:00,5.06
11 January 2022 05:52:00,2.31
11 January 2022 12:01:00,5.15
11 January 2022 18:33:00,2.28
12 January 2022 00:40:00,4.97
12 January 2022 07:01:00,2.38
12 January 2022 13:09:00,5.09
12 January 2022 19:37:00,2.28
13 January 2022 01:44:00,5.03
13 January 2022 08:06:00,2.30
13 January 2022 14:11:00,5.18
13 January 2022 20:38:00,2.15
14 January 2022 02:41:00,5.22
14 January 2022 09:02:00,2.10
14 January 2022 15:03:00,5.37
14 January 2022 21:27:00,1.96
15 January 2022 03:27:00,5.47
15 January 2022 09:51:00,1.85
15 January 2022 15:49:00,5.60
15 January 2022 22:12:00,1.72
16 January 2022 04:09:00,5.76
16 January 2022 10:33:00,1.59
16 January 2022 16:28:00,5.84
16 January 2022 22:51:00,1.50
17 January 2022 04:46:00,6.03
17 January 2022 11:12:00,1.36
17 January 2022 17:05:00,6.05
17 January 2022 23:28:00,1.30
18 January 2022 05:21:00,6.26
18 January 2022 11:49:00,1.17
18 January 2022 17:39:00,6.20
19 January 2022 00:03:00,1.16
19 January 2022 05:56:00,6.43
19 January 2022 12:24:00,1.04
