Padstow
GMT (+0:00)
Date/Time,Height(m)
01 January 2020 03:05:00,1.95
01 January 2020 09:04:00,6.24
01 January 2020 15:32:00,1.99
01 January 2020 21:28:00,5.86
02 January 2020 03:47:00,2.22
02 January 2020 09:49:00,5.92
02 January 2020 16:17:00,2.25
02 January 2020 22:17:00,5.60
03 January 2020 04:36:00,2.46
03 January 2020 10:41:00,5.66
03 January 2020 17:09:00,2.45
03 January 2020 23:12:00,5.42
04 January 2020 05:33:00,2.62
04 January 2020 11:41:00,5.49
04 January 2020 18:11:00,2.56
05 January 2020 00:18:00,5.36
05 January 2020 06:41:00,2.65
05 January 2020 12:48:00,5.47
05 January 2020 19:17:00,2.52
06 January 2020 01:25:00,5.48
06 January 2020 07:49:00,2.51
06 January 2020 13:54:00,5.62
06 January 2020 20:21:00,2.34
07 January 2020 02:25:00,5.76
07 January 2020 08:50:00,2.24
07 January 2020 14:51:00,5.90
07 January 2020 21:16:00,2.06
08 January 2020 03:17:00,6.14
08 January 2020 09:44:00,1.89
08 January 2020 15:41:00,6.27
08 January 2020 22:05:00,1.73
09 January 2020 04:03:00,6.57
09 January 2020 10:33:00,1.51
09 January 2020 16:26:00,6.64
09 January 2020 22:52:00,1.41
10 January 2020 04:47:00,6.99
10 January 2020 11:18:00,1.17
10 January 2020 17:10:00,6.98
10 January 2020 23:36:00,1.12
11 January 2020 05:30:00,7.35
11 January 2020 12:03:00,0.90
11 January 2020 17:52:00,7.26
12 January 2020 00:19:00,0.90
12 January 2020 06:12:00,7.60
12 January 2020 12:47:00,0.73
12 January 2020 18:36:00,7.39
13 January 2020 01:04:00,0.82
13 January 2020 06:56:00,7.69
13 January 2020 13:31:00,0.71
13 January 2020 19:19:00,7.38
14 January 2020 01:47:00,0.85
14 January 2020 07:40:00,7.62
14 January 2020 14:15:00,0.80
14 January 2020 20:05:00,7.24
15 January 2020 02:33:00,1.00
15 January 2020 08:27:00,7.39
15 January 2020 15:02:00,1.02
15 January 2020 20:53:00,6.96
16 January 2020 03:21:00,1.26
16 January 2020 09:18:00,7.02
16 January 2020 15:52:00,1.34
16 January 2020 21:47:00,6.61
17 January 2020 04:14:00,1.58
17 January 2020 10:15:00,6.61
17 January 2020 16:48:00,1.68
17 January 2020 22:48:00,6.26
18 January 2020 05:16:00,1.90
18 January 2020 11:19:00,6.22
18 January 2020 17:52:00,1.98
18 January 2020 23:56:00,5.98
19 January 2020 06:25:00,2.13
19 January 2020 12:31:00,5.96
19 January 2020 19:04:00,2.13
20 January 2020 01:11:00,5.92
20 January 2020 07:41:00,2.17
20 January 2020 13:45:00,5.90
20 January 2020 20:15:00,2.13
21 January 2020 02:21:00,5.99
21 January 2020 08:51:00,2.06
21 January 2020 14:53:00,6.02
21 January 2020 21:20:00,1.98
22 January 2020 03:22:00,6.24
22 January 2020 09:52:00,1.83
22 January 2020 15:49:00,6.25
22 January 2020 22:14:00,1.78
23 January 2020 04:13:00,6.52
23 January 2020 10:42:00,1.59
23 January 2020 16:37:00,6.50
23 January 2020 23:01:00,1.55
24 January 2020 04:56:00,6.79
24 January 2020 11:26:00,1.37
24 January 2020 17:18:00,6.70
24 January 2020 23:41:00,1.40
25 January 2020 05:36:00,6.98
25 January 2020 12:06:00,1.23
25 January 2020 17:56:00,6.85
26 January 2020 00:21:00,1.28
26 January 2020 06:13:00,7.11
26 January 2020 12:43:00,1.15
26 January 2020 18:32:00,6.91
27 January 2020 00:56:00,1.25
27 January 2020 06:48:00,7.12
27 January 2020 13:17:00,1.17
27 January 2020 19:06:00,6.87
28 January 2020 01:28:00,1.30
28 January 2020 07:21:00,7.04
28 January 2020 13:50:00,1.26
28 January 2020 19:40:00,6.75
29 January 2020 02:02:00,1.41
29 January 2020 07:56:00,6.87
29 January 2020 14:24:00,1.43
29 January 2020 20:14:00,6.54
30 January 2020 02:36:00,1.60
30 January 2020 08:31:00,6.62
30 January 2020 14:58:00,1.64
30 January 2020 20:50:00,6.30
31 January 2020 03:11:00,1.83
31 January 2020 09:07:00,6.33
31 January 2020 15:33:00,1.90
31 January 2020 21:28:00,6.03
01 February 2020 03:48:00,2.08
01 February 2020 09:48:00,6.01
01 February 2020 16:13:00,2.17
01 February 2020 22:12:00,5.74
02 February 2020 04:34:00,2.35
02 February 2020 10:37:00,5.69
02 February 2020 17:04:00,2.43
02 February 2020 23:08:00,5.50
03 February 2020 05:32:00,2.57
03 February 2020 11:40:00,5.45
03 February 2020 18:07:00,2.60
04 February 2020 00:17:00,5.39
04 February 2020 06:45:00,2.64
04 February 2020 12:55:00,5.39
04 February 2020 19:23:00,2.59
05 February 2020 01:34:00,5.50
05 February 2020 08:05:00,2.48
05 February 2020 14:11:00,5.59
05 February 2020 20:37:00,2.35
06 February 2020 02:43:00,5.87
06 February 2020 09:14:00,2.11
06 February 2020 15:14:00,5.98
06 February 2020 21:39:00,1.96
07 February 2020 03:40:00,6.38
07 February 2020 10:12:00,1.64
07 February 2020 16:07:00,6.49
07 February 2020 22:33:00,1.50
08 February 2020 04:30:00,6.96
08 February 2020 11:03:00,1.16
08 February 2020 16:55:00,7.01
08 February 2020 23:23:00,1.06
09 February 2020 05:16:00,7.49
09 February 2020 11:51:00,0.75
09 February 2020 17:39:00,7.46
10 February 2020 00:08:00,0.70
10 February 2020 06:00:00,7.89
10 February 2020 12:35:00,0.47
10 February 2020 18:22:00,7.75
11 February 2020 00:52:00,0.50
11 February 2020 06:42:00,8.09
11 February 2020 13:18:00,0.37
11 February 2020 19:05:00,7.84
12 February 2020 01:36:00,0.46
12 February 2020 07:26:00,8.06
12 February 2020 14:01:00,0.45
12 February 2020 19:48:00,7.73
13 February 2020 02:18:00,0.60
13 February 2020 08:10:00,7.79
13 February 2020 14:44:00,0.71
13 February 2020 20:34:00,7.39
14 February 2020 03:03:00,0.93
14 February 2020 08:57:00,7.32
14 February 2020 15:29:00,1.10
14 February 2020 21:22:00,6.94
15 February 2020 03:51:00,1.34
15 February 2020 09:47:00,6.76
15 February 2020 16:17:00,1.57
15 February 2020 22:15:00,6.41
16 February 2020 04:43:00,1.81
16 February 2020 10:45:00,6.18
16 February 2020 17:14:00,2.04
16 February 2020 23:18:00,5.93
17 February 2020 05:49:00,2.23
17 February 2020 11:56:00,5.71
17 February 2020 18:27:00,2.40
18 February 2020 00:38:00,5.63
18 February 2020 07:11:00,2.46
18 February 2020 13:20:00,5.49
18 February 2020 19:48:00,2.52
19 February 2020 02:00:00,5.60
19 February 2020 08:33:00,2.42
19 February 2020 14:39:00,5.58
19 February 2020 21:04:00,2.38
20 February 2020 03:10:00,5.84
20 February 2020 09:40:00,2.16
20 February 2020 15:41:00,5.87
20 February 2020 22:03:00,2.10
21 February 2020 04:03:00,6.20
21 February 2020 10:31:00,1.83
21 February 2020 16:27:00,6.23
21 February 2020 22:49:00,1.79
22 February 2020 04:45:00,6.56
22 February 2020 11:13:00,1.54
22 February 2020 17:05:00,6.54
22 February 2020 23:27:00,1.53
23 February 2020 05:21:00,6.86
23 February 2020 11:50:00,1.30
23 February 2020 17:40:00,6.80
24 February 2020 00:03:00,1.31
24 February 2020 05:55:00,7.09
24 February 2020 12:23:00,1.13
24 February 2020 18:12:00,6.98
25 February 2020 00:35:00,1.17
25 February 2020 06:26:00,7.22
25 February 2020 12:55:00,1.06
25 February 2020 18:43:00,7.06
26 February 2020 01:07:00,1.13
26 February 2020 06:57:00,7.22
