Wadebridge
GMT (+0:00)
Date/Time,Height(m)
01 January 2021 01:13:00,-0.02
01 January 2021 06:45:00,2.73
01 January 2021 11:57:00,-0.03
01 January 2021 19:04:00,2.62
02 January 2021 00:07:00,-0.09
02 January 2021 07:24:00,2.71
02 January 2021 12:39:00,-0.02
02 January 2021 19:44:00,2.57
03 January 2021 00:49:00,-0.07
03 January 2021 08:05:00,2.63
03 January 2021 13:29:00,0.01
03 January 2021 20:27:00,2.44
04 January 2021 01:39:00,-0.03
04 January 2021 08:51:00,2.49
04 January 2021 14:28:00,0.05
04 January 2021 21:13:00,2.29
05 January 2021 02:34:00,0.02
05 January 2021 09:40:00,2.32
05 January 2021 17:17:00,0.08
05 January 2021 22:09:00,2.12
06 January 2021 03:44:00,0.09
06 January 2021 10:40:00,2.14
06 January 2021 17:41:00,0.13
06 January 2021 23:13:00,1.97
07 January 2021 05:03:00,0.15
07 January 2021 11:48:00,2.01
07 January 2021 18:28:00,0.15
08 January 2021 00:24:00,1.91
08 January 2021 06:24:00,0.17
08 January 2021 13:00:00,1.99
08 January 2021 19:30:00,0.14
09 January 2021 01:37:00,1.98
09 January 2021 07:38:00,0.15
09 January 2021 14:12:00,2.07
09 January 2021 20:16:00,0.09
10 January 2021 02:46:00,2.16
10 January 2021 08:33:00,0.10
10 January 2021 15:16:00,2.27
10 January 2021 20:49:00,0.02
11 January 2021 03:45:00,2.42
11 January 2021 09:12:00,0.03
11 January 2021 16:11:00,2.49
11 January 2021 21:25:00,-0.05
12 January 2021 00:14:00,-0.04
12 January 2021 04:36:00,2.66
12 January 2021 09:50:00,-0.04
12 January 2021 12:51:00,-0.08
13 January 2021 01:14:00,-0.11
13 January 2021 05:24:00,2.85
13 January 2021 10:30:00,-0.08
13 January 2021 13:44:00,-0.15
14 January 2021 00:32:00,-0.05
14 January 2021 06:08:00,2.95
14 January 2021 11:11:00,-0.10
14 January 2021 14:30:00,-0.18
15 January 2021 01:16:00,-0.05
15 January 2021 06:50:00,2.94
15 January 2021 11:54:00,-0.09
15 January 2021 15:10:00,-0.16
16 January 2021 00:07:00,-0.13
16 January 2021 03:21:00,-0.10
16 January 2021 07:30:00,2.83
16 January 2021 12:40:00,-0.05
17 January 2021 00:52:00,-0.08
17 January 2021 08:09:00,2.62
17 January 2021 13:32:00,0.01
17 January 2021 20:28:00,2.39
18 January 2021 01:43:00,0.00
18 January 2021 08:48:00,2.37
18 January 2021 14:37:00,0.08
18 January 2021 21:09:00,2.14
19 January 2021 02:41:00,0.09
19 January 2021 09:30:00,2.11
19 January 2021 15:59:00,0.15
19 January 2021 21:50:00,1.89
20 January 2021 03:42:00,0.18
20 January 2021 10:13:00,1.86
20 January 2021 16:41:00,0.22
20 January 2021 22:38:00,1.68
21 January 2021 04:43:00,0.27
21 January 2021 11:06:00,1.65
21 January 2021 17:34:00,0.30
21 January 2021 23:37:00,1.51
22 January 2021 05:50:00,0.35
22 January 2021 12:11:00,1.51
22 January 2021 18:41:00,0.34
23 January 2021 00:50:00,1.44
23 January 2021 07:08:00,0.37
23 January 2021 13:23:00,1.48
23 January 2021 19:50:00,0.33
24 January 2021 02:00:00,1.50
24 January 2021 08:23:00,0.34
24 January 2021 14:31:00,1.58
24 January 2021 20:54:00,0.27
25 January 2021 03:03:00,1.68
25 January 2021 09:29:00,0.26
25 January 2021 15:29:00,1.77
25 January 2021 21:41:00,0.18
26 January 2021 03:55:00,1.93
26 January 2021 10:27:00,0.17
26 January 2021 16:16:00,2.02
26 January 2021 22:01:00,0.09
27 January 2021 04:38:00,2.22
27 January 2021 10:27:00,0.08
27 January 2021 16:57:00,2.29
27 January 2021 22:16:00,0.00
28 January 2021 00:39:00,0.02
28 January 2021 05:16:00,2.51
28 January 2021 10:38:00,0.00
28 January 2021 17:35:00,2.56
29 January 2021 00:20:00,-0.02
29 January 2021 05:54:00,2.79
29 January 2021 11:02:00,-0.07
29 January 2021 14:12:00,-0.14
30 January 2021 00:58:00,-0.05
30 January 2021 06:32:00,3.00
30 January 2021 11:32:00,-0.12
30 January 2021 14:56:00,-0.21
31 January 2021 01:36:00,-0.07
31 January 2021 07:10:00,3.09
31 January 2021 12:08:00,-0.13
31 January 2021 15:36:00,-0.24
01 February 2021 00:20:00,-0.20
01 February 2021 03:52:00,-0.20
01 February 2021 07:50:00,3.07
01 February 2021 12:50:00,-0.12
02 February 2021 01:05:00,-0.16
02 February 2021 04:27:00,-0.14
02 February 2021 08:32:00,2.90
02 February 2021 13:39:00,-0.07
03 February 2021 01:58:00,-0.08
03 February 2021 09:18:00,2.63
03 February 2021 14:40:00,0.00
03 February 2021 21:42:00,2.40
04 February 2021 03:03:00,0.02
04 February 2021 10:09:00,2.32
04 February 2021 15:59:00,0.08
04 February 2021 22:39:00,2.11
05 February 2021 04:25:00,0.12
05 February 2021 11:12:00,2.01
05 February 2021 17:31:00,0.16
05 February 2021 23:50:00,1.86
06 February 2021 06:03:00,0.21
06 February 2021 12:29:00,1.80
06 February 2021 18:54:00,0.21
07 February 2021 01:12:00,1.77
07 February 2021 07:39:00,0.23
07 February 2021 13:53:00,1.78
07 February 2021 20:12:00,0.19
08 February 2021 02:33:00,1.88
08 February 2021 09:08:00,0.19
08 February 2021 15:07:00,1.93
08 February 2021 21:06:00,0.13
09 February 2021 03:40:00,2.12
09 February 2021 11:09:00,0.10
09 February 2021 16:07:00,2.19
09 February 2021 21:37:00,0.04
10 February 2021 04:33:00,2.41
10 February 2021 10:05:00,0.03
10 February 2021 16:55:00,2.46
10 February 2021 22:06:00,-0.04
11 February 2021 00:55:00,-0.02
11 February 2021 05:17:00,2.67
11 February 2021 10:32:00,-0.04
11 February 2021 17:37:00,2.68
12 February 2021 00:23:00,-0.03
12 February 2021 05:57:00,2.86
12 February 2021 11:02:00,-0.09
12 February 2021 14:15:00,-0.16
13 February 2021 01:00:00,-0.04
13 February 2021 06:34:00,2.96
13 February 2021 11:35:00,-0.11
13 February 2021 14:53:00,-0.18
14 February 2021 01:35:00,-0.04
14 February 2021 07:08:00,2.93
14 February 2021 12:10:00,-0.09
14 February 2021 15:24:00,-0.16
15 February 2021 00:22:00,-0.12
15 February 2021 03:33:00,-0.10
15 February 2021 07:41:00,2.80
15 February 2021 12:49:00,-0.06
16 February 2021 01:02:00,-0.06
16 February 2021 08:15:00,2.60
16 February 2021 13:34:00,0.00
16 February 2021 20:31:00,2.40
17 February 2021 01:49:00,0.01
17 February 2021 08:49:00,2.33
17 February 2021 14:30:00,0.08
17 February 2021 21:06:00,2.13
18 February 2021 02:44:00,0.11
18 February 2021 09:24:00,2.05
18 February 2021 15:35:00,0.16
18 February 2021 21:44:00,1.86
19 February 2021 03:45:00,0.21
19 February 2021 10:05:00,1.77
19 February 2021 16:23:00,0.25
19 February 2021 22:29:00,1.62
20 February 2021 04:41:00,0.31
20 February 2021 10:57:00,1.53
20 February 2021 17:20:00,0.35
20 February 2021 23:34:00,1.42
21 February 2021 05:58:00,0.41
21 February 2021 12:15:00,1.37
21 February 2021 18:43:00,0.40
22 February 2021 01:03:00,1.37
22 February 2021 07:35:00,0.41
22 February 2021 13:46:00,1.39
22 February 2021 20:10:00,0.36
23 February 2021 02:27:00,1.51
23 February 2021 09:01:00,0.33
23 February 2021 15:00:00,1.58
23 February 2021 21:16:00,0.25
24 February 2021 03:30:00,1.79
24 February 2021 10:09:00,0.20
24 February 2021 15:53:00,1.90
24 February 2021 21:44:00,0.13
25 February 2021 04:16:00,2.17
25 February 2021 11:55:00,0.06
25 February 2021 16:37:00,2.29
25 February 2021 21:54:00,-0.00
26 February 2021 00:26:00,0.02
26 February 2021 04:57:00,2.59
26 February 2021 10:13:00,-0.03
26 February 2021 17:16:00,2.71
27 February 2021 01:32:00,-0.14
27 February 2021 05:35:00,3.00
27 February 2021 10:33:00,-0.14
27 February 2021 14:01:00,-0.25
28 February 2021 00:38:00,-0.08
28 February 2021 06:13:00,3.30
28 February 2021 11:02:00,-0.21
28 February 2021 14:47:00,-0.37
01 March 2021 03:05:00,-0.36
01 March 2021 06:50:00,3.46
01 March 2021 11:36:00,-0.25
01 March 2021 15:28:00,-0.41
02 March 2021 01:56:00,-0.10
02 March 2021 07:30:00,3.42
02 March 2021 12:17:00,-0.23
02 March 2021 16:05:00,-0.36
03 March 2021 00:36:00,-0.25
03 March 2021 04:20:00,-0.28
03 March 2021 08:11:00,3.19
03 March 2021 13:04:00,-0.17
04 March 2021 01:28:00,-0.15
04 March 2021 04:49:00,-0.14
04 March 2021 08:54:00,2.81
04 March 2021 14:02:00,-0.06
05 March 2021 02:35:00,-0.01
05 March 2021 09:44:00,2.36
05 March 2021 15:20:00,0.06
05 March 2021 22:13:00,2.14
06 March 2021 04:09:00,0.13
06 March 2021 10:45:00,1.93
06 March 2021 16:56:00,0.19
06 March 2021 23:25:00,1.78
07 March 2021 05:52:00,0.26
07 March 2021 12:07:00,1.63
07 March 2021 18:29:00,0.28
08 March 2021 00:56:00,1.62
08 March 2021 07:35:00,0.30
08 March 2021 13:43:00,1.58
08 March 2021 20:03:00,0.28
09 March 2021 02:27:00,1.71
09 March 2021 09:08:00,0.24
09 March 2021 15:03:00,1.76
09 March 2021 21:10:00,0.19
10 March 2021 03:34:00,1.98
10 March 2021 10:36:00,0.13
10 March 2021 16:01:00,2.05
10 March 2021 21:38:00,0.09
11 March 2021 04:24:00,2.29
11 March 2021 10:09:00,0.05
11 March 2021 16:45:00,2.36
11 March 2021 21:59:00,-0.00
12 March 2021 00:36:00,0.02
12 March 2021 05:04:00,2.58
12 March 2021 10:22:00,-0.03
12 March 2021 17:22:00,2.62
13 March 2021 00:06:00,-0.01
13 March 2021 05:39:00,2.80
13 March 2021 10:45:00,-0.09
13 March 2021 13:53:00,-0.15
14 March 2021 00:37:00,-0.03
14 March 2021 06:11:00,2.93
14 March 2021 11:10:00,-0.12
14 March 2021 14:28:00,-0.19
15 March 2021 01:07:00,-0.04
15 March 2021 06:41:00,2.96
15 March 2021 11:39:00,-0.12
15 March 2021 14:58:00,-0.18
16 March 2021 01:37:00,-0.04
16 March 2021 07:11:00,2.87
16 March 2021 12:13:00,-0.10
16 March 2021 15:23:00,-0.13
17 March 2021 00:27:00,-0.09
17 March 2021 03:32:00,-0.08
17 March 2021 07:41:00,2.70
17 March 2021 12:50:00,-0.04
18 March 2021 01:08:00,-0.02
18 March 2021 08:12:00,2.45
18 March 2021 13:35:00,0.03
18 March 2021 20:28:00,2.29
19 March 2021 01:59:00,0.07
19 March 2021 08:45:00,2.16
19 March 2021 14:32:00,0.11
19 March 2021 21:03:00,2.00
20 March 2021 03:05:00,0.17
20 March 2021 09:22:00,1.85
20 March 2021 15:28:00,0.21
20 March 2021 21:44:00,1.73
21 March 2021 03:59:00,0.28
21 March 2021 10:08:00,1.57
21 March 2021 16:22:00,0.32
21 March 2021 22:41:00,1.47
22 March 2021 05:08:00,0.39
22 March 2021 11:20:00,1.35
22 March 2021 17:41:00,0.42
23 March 2021 00:09:00,1.36
23 March 2021 06:48:00,0.43
23 March 2021 12:59:00,1.32
23 March 2021 19:21:00,0.40
24 March 2021 01:46:00,1.46
24 March 2021 08:27:00,0.34
24 March 2021 14:26:00,1.53
24 March 2021 20:40:00,0.28
25 March 2021 02:58:00,1.78
25 March 2021 09:43:00,0.19
25 March 2021 15:24:00,1.90
25 March 2021 21:11:00,0.13
26 March 2021 03:47:00,2.21
26 March 2021 09:50:00,0.06
26 March 2021 16:09:00,2.37
26 March 2021 21:21:00,-0.02
27 March 2021 00:09:00,-0.01
27 March 2021 04:30:00,2.71
27 March 2021 09:41:00,-0.08
27 March 2021 12:47:00,-0.15
28 March 2021 00:13:00,-0.20
28 March 2021 05:09:00,3.16
28 March 2021 10:02:00,-0.20
28 March 2021 13:42:00,-0.34
29 March 2021 02:04:00,-0.38
29 March 2021 05:48:00,3.51
29 March 2021 10:32:00,-0.29
29 March 2021 14:28:00,-0.47
30 March 2021 02:48:00,-0.47
30 March 2021 06:27:00,3.64
30 March 2021 11:07:00,-0.32
30 March 2021 15:08:00,-0.49
31 March 2021 03:26:00,-0.45
31 March 2021 07:07:00,3.55
31 March 2021 11:49:00,-0.29
31 March 2021 15:45:00,-0.41
01 April 2021 00:13:00,-0.27
01 April 2021 04:02:00,-0.34
01 April 2021 07:50:00,3.25
01 April 2021 12:40:00,-0.21
02 April 2021 01:10:00,-0.14
02 April 2021 04:33:00,-0.16
02 April 2021 08:35:00,2.80
02 April 2021 13:40:00,-0.08
03 April 2021 02:22:00,0.01
03 April 2021 09:25:00,2.29
03 April 2021 14:59:00,0.07
03 April 2021 21:55:00,2.11
04 April 2021 04:11:00,0.16
04 April 2021 10:27:00,1.84
04 April 2021 16:31:00,0.21
04 April 2021 23:07:00,1.74
05 April 2021 05:43:00,0.28
05 April 2021 11:51:00,1.54
05 April 2021 18:09:00,0.32
06 April 2021 00:43:00,1.57
06 April 2021 07:28:00,0.32
06 April 2021 13:33:00,1.51
06 April 2021 19:50:00,0.31
07 April 2021 02:15:00,1.67
07 April 2021 08:56:00,0.24
07 April 2021 14:50:00,1.70
07 April 2021 20:56:00,0.22
08 April 2021 03:18:00,1.92
08 April 2021 10:06:00,0.14
08 April 2021 15:44:00,1.99
08 April 2021 21:25:00,0.12
09 April 2021 04:04:00,2.21
09 April 2021 09:59:00,0.06
09 April 2021 16:24:00,2.27
09 April 2021 21:44:00,0.04
10 April 2021 00:04:00,0.06
10 April 2021 04:41:00,2.46
10 April 2021 10:05:00,-0.01
10 April 2021 16:57:00,2.50
11 April 2021 00:56:00,-0.02
11 April 2021 05:13:00,2.66
11 April 2021 10:23:00,-0.06
11 April 2021 17:28:00,2.70
12 April 2021 00:08:00,-0.01
12 April 2021 05:43:00,2.81
12 April 2021 10:45:00,-0.10
12 April 2021 13:56:00,-0.15
13 April 2021 00:37:00,-0.03
13 April 2021 06:12:00,2.86
13 April 2021 11:12:00,-0.11
13 April 2021 14:25:00,-0.15
14 April 2021 01:05:00,-0.02
14 April 2021 06:41:00,2.80
14 April 2021 11:43:00,-0.09
14 April 2021 14:50:00,-0.11
15 April 2021 00:01:00,-0.06
15 April 2021 07:12:00,2.65
15 April 2021 12:20:00,-0.05
15 April 2021 19:27:00,2.56
16 April 2021 00:41:00,-0.00
16 April 2021 07:42:00,2.43
16 April 2021 13:01:00,0.01
16 April 2021 19:58:00,2.34
17 April 2021 01:31:00,0.07
17 April 2021 08:14:00,2.18
17 April 2021 13:52:00,0.09
17 April 2021 20:33:00,2.08
18 April 2021 02:42:00,0.16
18 April 2021 08:53:00,1.89
18 April 2021 14:50:00,0.18
18 April 2021 21:16:00,1.81
19 April 2021 03:41:00,0.25
19 April 2021 09:40:00,1.63
19 April 2021 15:47:00,0.28
19 April 2021 22:11:00,1.61
20 April 2021 04:43:00,0.34
20 April 2021 10:47:00,1.44
20 April 2021 17:02:00,0.36
20 April 2021 23:33:00,1.48
21 April 2021 06:15:00,0.37
21 April 2021 12:19:00,1.40
21 April 2021 18:35:00,0.36
22 April 2021 01:04:00,1.56
22 April 2021 07:49:00,0.29
22 April 2021 13:44:00,1.59
22 April 2021 19:53:00,0.25
23 April 2021 02:16:00,1.86
23 April 2021 09:12:00,0.16
23 April 2021 14:46:00,1.96
23 April 2021 20:28:00,0.12
24 April 2021 03:12:00,2.27
24 April 2021 09:01:00,0.04
24 April 2021 15:36:00,2.41
24 April 2021 20:47:00,-0.03
25 April 2021 03:58:00,2.74
25 April 2021 09:07:00,-0.09
