Port Isaac
GMT (+0:00)
Date/Time,Height(m)
01 January 2020 02:53:00,2.00
01 January 2020 08:59:00,6.43
01 January 2020 15:22:00,2.04
01 January 2020 21:24:00,6.00
02 January 2020 03:37:00,2.29
02 January 2020 09:46:00,6.13
02 January 2020 16:10:00,2.31
02 January 2020 22:15:00,5.74
03 January 2020 04:28:00,2.54
03 January 2020 10:38:00,5.88
03 January 2020 17:04:00,2.50
03 January 2020 23:12:00,5.58
04 January 2020 05:26:00,2.68
04 January 2020 11:39:00,5.74
04 January 2020 18:06:00,2.58
05 January 2020 00:17:00,5.56
05 January 2020 06:33:00,2.69
05 January 2020 12:45:00,5.75
05 January 2020 19:11:00,2.51
06 January 2020 01:22:00,5.71
06 January 2020 07:39:00,2.52
06 January 2020 13:48:00,5.93
06 January 2020 20:11:00,2.29
07 January 2020 02:20:00,6.01
07 January 2020 08:38:00,2.22
07 January 2020 14:44:00,6.22
07 January 2020 21:04:00,1.98
08 January 2020 03:10:00,6.40
08 January 2020 09:29:00,1.84
08 January 2020 15:33:00,6.58
08 January 2020 21:51:00,1.63
09 January 2020 03:56:00,6.83
09 January 2020 10:16:00,1.45
09 January 2020 16:18:00,6.93
09 January 2020 22:37:00,1.29
10 January 2020 04:40:00,7.23
10 January 2020 11:01:00,1.09
10 January 2020 17:02:00,7.24
10 January 2020 23:20:00,1.00
11 January 2020 05:22:00,7.58
11 January 2020 11:45:00,0.80
11 January 2020 17:44:00,7.48
12 January 2020 00:02:00,0.78
12 January 2020 06:05:00,7.82
12 January 2020 12:29:00,0.64
12 January 2020 18:29:00,7.58
13 January 2020 00:47:00,0.72
13 January 2020 06:49:00,7.89
13 January 2020 13:14:00,0.62
13 January 2020 19:12:00,7.54
14 January 2020 01:30:00,0.77
14 January 2020 07:34:00,7.81
14 January 2020 13:59:00,0.74
14 January 2020 19:59:00,7.38
15 January 2020 02:17:00,0.95
15 January 2020 08:22:00,7.58
15 January 2020 14:47:00,0.99
15 January 2020 20:48:00,7.09
16 January 2020 03:07:00,1.25
16 January 2020 09:13:00,7.23
16 January 2020 15:40:00,1.33
16 January 2020 21:43:00,6.74
17 January 2020 04:02:00,1.59
17 January 2020 10:11:00,6.83
17 January 2020 16:39:00,1.67
17 January 2020 22:46:00,6.41
18 January 2020 05:05:00,1.92
18 January 2020 11:17:00,6.47
18 January 2020 17:44:00,1.97
18 January 2020 23:54:00,6.17
19 January 2020 06:16:00,2.14
19 January 2020 12:29:00,6.25
19 January 2020 18:57:00,2.09
20 January 2020 01:08:00,6.15
20 January 2020 07:30:00,2.15
20 January 2020 13:41:00,6.22
20 January 2020 20:06:00,2.06
21 January 2020 02:16:00,6.26
21 January 2020 08:39:00,2.02
21 January 2020 14:47:00,6.35
21 January 2020 21:08:00,1.89
22 January 2020 03:16:00,6.52
22 January 2020 09:37:00,1.78
22 January 2020 15:41:00,6.56
22 January 2020 22:00:00,1.68
23 January 2020 04:05:00,6.79
23 January 2020 10:26:00,1.52
23 January 2020 16:28:00,6.79
23 January 2020 22:45:00,1.45
24 January 2020 04:48:00,7.06
24 January 2020 11:09:00,1.30
24 January 2020 17:09:00,6.96
24 January 2020 23:25:00,1.30
25 January 2020 05:27:00,7.23
25 January 2020 11:49:00,1.16
25 January 2020 17:48:00,7.07
26 January 2020 00:04:00,1.20
26 January 2020 06:05:00,7.33
26 January 2020 12:26:00,1.09
26 January 2020 18:24:00,7.10
27 January 2020 00:39:00,1.19
27 January 2020 06:40:00,7.34
27 January 2020 13:00:00,1.13
27 January 2020 18:58:00,7.04
28 January 2020 01:12:00,1.26
28 January 2020 07:14:00,7.24
28 January 2020 13:35:00,1.24
28 January 2020 19:33:00,6.89
29 January 2020 01:47:00,1.41
29 January 2020 07:49:00,7.06
29 January 2020 14:09:00,1.44
29 January 2020 20:08:00,6.67
30 January 2020 02:21:00,1.63
30 January 2020 08:24:00,6.80
30 January 2020 14:45:00,1.69
30 January 2020 20:44:00,6.42
31 January 2020 02:57:00,1.88
31 January 2020 09:02:00,6.51
31 January 2020 15:22:00,1.96
31 January 2020 21:23:00,6.14
01 February 2020 03:36:00,2.16
01 February 2020 09:44:00,6.20
01 February 2020 16:05:00,2.25
01 February 2020 22:10:00,5.86
02 February 2020 04:25:00,2.44
02 February 2020 10:35:00,5.89
02 February 2020 16:59:00,2.51
02 February 2020 23:08:00,5.64
03 February 2020 05:26:00,2.65
03 February 2020 11:39:00,5.69
03 February 2020 18:05:00,2.65
04 February 2020 00:18:00,5.57
04 February 2020 06:40:00,2.68
04 February 2020 12:54:00,5.67
04 February 2020 19:19:00,2.58
05 February 2020 01:32:00,5.75
05 February 2020 07:56:00,2.47
05 February 2020 14:07:00,5.90
05 February 2020 20:28:00,2.29
06 February 2020 02:38:00,6.15
06 February 2020 09:01:00,2.05
06 February 2020 15:07:00,6.31
06 February 2020 21:26:00,1.86
07 February 2020 03:33:00,6.67
07 February 2020 09:56:00,1.55
07 February 2020 15:59:00,6.80
07 February 2020 22:18:00,1.38
08 February 2020 04:22:00,7.24
08 February 2020 10:46:00,1.04
08 February 2020 16:47:00,7.29
08 February 2020 23:06:00,0.92
09 February 2020 05:08:00,7.75
09 February 2020 11:32:00,0.61
09 February 2020 17:31:00,7.69
09 February 2020 23:50:00,0.55
10 February 2020 05:52:00,8.13
10 February 2020 12:16:00,0.32
10 February 2020 18:14:00,7.94
11 February 2020 00:33:00,0.36
11 February 2020 06:35:00,8.30
11 February 2020 13:00:00,0.23
11 February 2020 18:58:00,7.99
12 February 2020 01:17:00,0.35
12 February 2020 07:19:00,8.25
12 February 2020 13:43:00,0.34
12 February 2020 19:41:00,7.84
13 February 2020 02:00:00,0.52
13 February 2020 08:03:00,7.97
13 February 2020 14:28:00,0.65
13 February 2020 20:28:00,7.49
14 February 2020 02:47:00,0.90
14 February 2020 08:52:00,7.50
14 February 2020 15:16:00,1.09
14 February 2020 21:18:00,7.04
15 February 2020 03:37:00,1.36
15 February 2020 09:44:00,6.95
15 February 2020 16:07:00,1.60
15 February 2020 22:12:00,6.53
16 February 2020 04:33:00,1.86
16 February 2020 10:43:00,6.39
16 February 2020 17:07:00,2.08
16 February 2020 23:18:00,6.09
17 February 2020 05:42:00,2.28
17 February 2020 11:56:00,5.96
17 February 2020 18:23:00,2.41
18 February 2020 00:38:00,5.85
18 February 2020 07:04:00,2.46
18 February 2020 13:19:00,5.79
18 February 2020 19:43:00,2.49
19 February 2020 01:57:00,5.88
19 February 2020 08:23:00,2.38
19 February 2020 14:34:00,5.90
19 February 2020 20:54:00,2.32
20 February 2020 03:04:00,6.14
20 February 2020 09:27:00,2.10
20 February 2020 15:32:00,6.19
20 February 2020 21:49:00,2.02
21 February 2020 03:54:00,6.50
21 February 2020 10:16:00,1.76
21 February 2020 16:18:00,6.52
21 February 2020 22:33:00,1.70
22 February 2020 04:36:00,6.84
22 February 2020 10:56:00,1.45
22 February 2020 16:56:00,6.81
22 February 2020 23:10:00,1.44
23 February 2020 05:12:00,7.12
23 February 2020 11:32:00,1.21
23 February 2020 17:31:00,7.04
23 February 2020 23:45:00,1.22
24 February 2020 05:46:00,7.34
24 February 2020 12:05:00,1.05
24 February 2020 18:03:00,7.18
25 February 2020 00:17:00,1.10
25 February 2020 06:17:00,7.44
25 February 2020 12:37:00,0.99
25 February 2020 18:34:00,7.23
26 February 2020 00:49:00,1.08
26 February 2020 06:49:00,7.42
26 February 2020 13:08:00,1.05
26 February 2020 19:05:00,7.15
27 February 2020 01:20:00,1.17
27 February 2020 07:20:00,7.29
27 February 2020 13:39:00,1.19
27 February 2020 19:37:00,7.00
28 February 2020 01:51:00,1.32
28 February 2020 07:52:00,7.08
28 February 2020 14:10:00,1.40
28 February 2020 20:08:00,6.78
29 February 2020 02:22:00,1.56
29 February 2020 08:24:00,6.78
29 February 2020 14:42:00,1.71
29 February 2020 20:42:00,6.45
01 March 2020 02:57:00,1.89
01 March 2020 09:02:00,6.40
01 March 2020 15:20:00,2.05
01 March 2020 21:23:00,6.12
02 March 2020 03:40:00,2.22
02 March 2020 09:47:00,6.03
02 March 2020 16:07:00,2.39
02 March 2020 22:14:00,5.82
03 March 2020 04:35:00,2.52
03 March 2020 10:48:00,5.71
03 March 2020 17:11:00,2.64
03 March 2020 23:25:00,5.63
04 March 2020 05:52:00,2.67
04 March 2020 12:10:00,5.57
04 March 2020 18:35:00,2.71
05 March 2020 00:52:00,5.68
05 March 2020 07:21:00,2.54
05 March 2020 13:35:00,5.74
05 March 2020 19:56:00,2.45
06 March 2020 02:09:00,6.06
06 March 2020 08:36:00,2.11
06 March 2020 14:45:00,6.21
06 March 2020 21:03:00,1.95
07 March 2020 03:11:00,6.68
07 March 2020 09:37:00,1.50
07 March 2020 15:41:00,6.83
07 March 2020 21:59:00,1.33
08 March 2020 04:03:00,7.36
08 March 2020 10:27:00,0.90
08 March 2020 16:28:00,7.42
08 March 2020 22:46:00,0.78
09 March 2020 04:49:00,7.94
09 March 2020 11:14:00,0.41
09 March 2020 17:13:00,7.92
09 March 2020 23:32:00,0.34
10 March 2020 05:33:00,8.37
10 March 2020 11:58:00,0.09
10 March 2020 17:55:00,8.22
11 March 2020 00:15:00,0.10
11 March 2020 06:16:00,8.54
11 March 2020 12:40:00,0.01
11 March 2020 18:38:00,8.29
12 March 2020 00:58:00,0.09
12 March 2020 06:58:00,8.46
12 March 2020 13:22:00,0.14
12 March 2020 19:20:00,8.13
13 March 2020 01:40:00,0.29
13 March 2020 07:41:00,8.12
13 March 2020 14:04:00,0.50
13 March 2020 20:04:00,7.73
14 March 2020 02:25:00,0.73
14 March 2020 08:27:00,7.57
14 March 2020 14:49:00,1.02
14 March 2020 20:51:00,7.19
15 March 2020 03:12:00,1.28
15 March 2020 09:17:00,6.91
15 March 2020 15:38:00,1.63
15 March 2020 21:44:00,6.57
16 March 2020 04:06:00,1.89
16 March 2020 10:15:00,6.24
16 March 2020 16:36:00,2.22
16 March 2020 22:47:00,6.01
17 March 2020 05:13:00,2.40
17 March 2020 11:27:00,5.71
17 March 2020 17:51:00,2.66
18 March 2020 00:09:00,5.65
18 March 2020 06:40:00,2.67
18 March 2020 12:59:00,5.50
18 March 2020 19:22:00,2.77
19 March 2020 01:39:00,5.66
19 March 2020 08:08:00,2.57
19 March 2020 14:20:00,5.66
19 March 2020 20:38:00,2.57
20 March 2020 02:47:00,5.94
20 March 2020 09:11:00,2.26
20 March 2020 15:17:00,6.00
20 March 2020 21:31:00,2.22
21 March 2020 03:36:00,6.33
21 March 2020 09:57:00,1.88
21 March 2020 16:00:00,6.38
21 March 2020 22:13:00,1.85
22 March 2020 04:15:00,6.71
22 March 2020 10:35:00,1.54
22 March 2020 16:35:00,6.73
22 March 2020 22:49:00,1.52
23 March 2020 04:49:00,7.04
23 March 2020 11:08:00,1.26
23 March 2020 17:07:00,7.01
23 March 2020 23:21:00,1.26
24 March 2020 05:20:00,7.29
24 March 2020 11:39:00,1.06
24 March 2020 17:37:00,7.21
24 March 2020 23:52:00,1.09
25 March 2020 05:51:00,7.43
25 March 2020 12:09:00,0.96
25 March 2020 18:07:00,7.31
26 March 2020 00:22:00,1.01
26 March 2020 06:20:00,7.46
26 March 2020 12:39:00,0.97
26 March 2020 18:36:00,7.30
27 March 2020 00:51:00,1.05
27 March 2020 06:50:00,7.37
27 March 2020 13:08:00,1.08
27 March 2020 19:06:00,7.18
28 March 2020 01:21:00,1.19
28 March 2020 07:21:00,7.16
28 March 2020 13:38:00,1.29
28 March 2020 19:37:00,6.97
29 March 2020 00:53:00,1.42
29 March 2020 07:54:00,6.87
29 March 2020 14:11:00,1.58
29 March 2020 20:11:00,6.67
30 March 2020 02:28:00,1.71
30 March 2020 08:31:00,6.51
30 March 2020 14:47:00,1.91
30 March 2020 20:51:00,6.36
31 March 2020 03:10:00,2.03
31 March 2020 09:16:00,6.13
31 March 2020 15:33:00,2.27
31 March 2020 21:42:00,6.01
01 April 2020 04:06:00,2.37
01 April 2020 10:16:00,5.77
01 April 2020 16:36:00,2.57
01 April 2020 22:50:00,5.79
02 April 2020 05:21:00,2.55
02 April 2020 11:38:00,5.59
02 April 2020 18:01:00,2.68
03 April 2020 00:20:00,5.79
03 April 2020 06:53:00,2.45
03 April 2020 13:08:00,5.75
03 April 2020 19:28:00,2.44
04 April 2020 01:41:00,6.15
04 April 2020 08:12:00,2.02
04 April 2020 14:21:00,6.23
04 April 2020 20:40:00,1.92
05 April 2020 02:48:00,6.76
05 April 2020 09:14:00,1.42
05 April 2020 15:18:00,6.88
05 April 2020 21:36:00,1.29
06 April 2020 03:39:00,7.43
06 April 2020 10:04:00,0.83
06 April 2020 16:05:00,7.49
06 April 2020 22:24:00,0.73
07 April 2020 04:26:00,7.98
07 April 2020 10:50:00,0.36
07 April 2020 16:49:00,7.99
07 April 2020 23:10:00,0.29
08 April 2020 05:10:00,8.37
08 April 2020 11:34:00,0.07
08 April 2020 17:32:00,8.30
08 April 2020 23:53:00,0.05
09 April 2020 05:53:00,8.51
09 April 2020 12:16:00,0.03
09 April 2020 18:14:00,8.33
10 April 2020 00:36:00,0.10
10 April 2020 06:36:00,8.35
10 April 2020 12:59:00,0.22
10 April 2020 18:58:00,8.13
11 April 2020 01:19:00,0.34
11 April 2020 07:20:00,7.97
11 April 2020 13:41:00,0.60
11 April 2020 19:41:00,7.72
12 April 2020 02:03:00,0.78
12 April 2020 08:04:00,7.40
12 April 2020 14:24:00,1.14
12 April 2020 20:27:00,7.15
13 April 2020 02:50:00,1.36
13 April 2020 08:54:00,6.74
13 April 2020 15:12:00,1.74
13 April 2020 21:19:00,6.55
14 April 2020 03:43:00,1.94
14 April 2020 09:50:00,6.10
14 April 2020 16:08:00,2.32
14 April 2020 22:20:00,5.98
15 April 2020 04:48:00,2.45
15 April 2020 11:01:00,5.60
15 April 2020 17:21:00,2.74
15 April 2020 23:38:00,5.64
16 April 2020 06:11:00,2.70
16 April 2020 12:28:00,5.40
16 April 2020 18:47:00,2.88
17 April 2020 01:04:00,5.59
17 April 2020 07:35:00,2.64
17 April 2020 13:48:00,5.54
17 April 2020 20:03:00,2.69
18 April 2020 02:13:00,5.84
18 April 2020 08:37:00,2.35
18 April 2020 14:45:00,5.87
18 April 2020 20:59:00,2.36
19 April 2020 03:04:00,6.19
19 April 2020 09:25:00,1.99
19 April 2020 15:29:00,6.25
19 April 2020 21:41:00,1.99
20 April 2020 03:43:00,6.57
20 April 2020 10:03:00,1.66
20 April 2020 16:04:00,6.59
20 April 2020 22:17:00,1.68
21 April 2020 04:17:00,6.87
21 April 2020 10:36:00,1.39
21 April 2020 16:36:00,6.90
21 April 2020 22:50:00,1.38
22 April 2020 04:49:00,7.14
22 April 2020 11:08:00,1.17
22 April 2020 17:07:00,7.14
22 April 2020 23:23:00,1.18
23 April 2020 05:21:00,7.30
23 April 2020 11:40:00,1.04
23 April 2020 17:38:00,7.28
23 April 2020 23:54:00,1.06
24 April 2020 05:52:00,7.36
24 April 2020 12:10:00,1.03
24 April 2020 18:08:00,7.30
25 April 2020 00:25:00,1.08
25 April 2020 06:23:00,7.28
