Boscastle
GMT (+0:00)
Date/Time,Height(m)
01 January 2021 00:08:00,1.02
01 January 2021 06:56:00,7.12
01 January 2021 12:31:00,1.00
01 January 2021 19:15:00,6.89
02 January 2021 00:46:00,0.96
02 January 2021 07:34:00,7.17
02 January 2021 13:10:00,0.98
02 January 2021 19:54:00,6.88
03 January 2021 01:25:00,0.98
03 January 2021 08:13:00,7.12
03 January 2021 13:51:00,1.06
03 January 2021 20:35:00,6.77
04 January 2021 02:08:00,1.12
04 January 2021 08:55:00,6.97
04 January 2021 14:35:00,1.21
04 January 2021 21:17:00,6.62
05 January 2021 02:53:00,1.30
05 January 2021 09:40:00,6.76
05 January 2021 15:24:00,1.43
05 January 2021 22:06:00,6.41
06 January 2021 03:46:00,1.56
06 January 2021 10:32:00,6.48
06 January 2021 16:21:00,1.69
06 January 2021 23:03:00,6.16
07 January 2021 04:48:00,1.83
07 January 2021 11:33:00,6.21
07 January 2021 17:26:00,1.91
08 January 2021 00:09:00,6.01
08 January 2021 05:59:00,2.01
08 January 2021 12:43:00,6.05
08 January 2021 18:38:00,1.99
09 January 2021 01:22:00,6.00
09 January 2021 07:14:00,2.02
09 January 2021 13:58:00,6.04
09 January 2021 19:52:00,1.92
10 January 2021 02:37:00,6.16
10 January 2021 08:28:00,1.84
10 January 2021 15:12:00,6.23
10 January 2021 20:58:00,1.66
11 January 2021 03:45:00,6.48
11 January 2021 09:30:00,1.53
11 January 2021 16:14:00,6.50
11 January 2021 21:54:00,1.36
12 January 2021 04:42:00,6.81
12 January 2021 10:23:00,1.22
12 January 2021 17:09:00,6.77
12 January 2021 22:44:00,1.08
13 January 2021 05:34:00,7.10
13 January 2021 11:11:00,0.97
13 January 2021 17:57:00,6.97
13 January 2021 23:29:00,0.87
14 January 2021 06:19:00,7.28
14 January 2021 11:55:00,0.81
14 January 2021 18:42:00,7.08
15 January 2021 00:12:00,0.78
15 January 2021 07:02:00,7.35
15 January 2021 12:37:00,0.78
15 January 2021 19:23:00,7.07
16 January 2021 00:53:00,0.81
16 January 2021 07:42:00,7.28
16 January 2021 13:16:00,0.88
16 January 2021 20:01:00,6.95
17 January 2021 01:31:00,0.97
17 January 2021 08:18:00,7.09
17 January 2021 13:54:00,1.09
17 January 2021 20:36:00,6.72
18 January 2021 02:09:00,1.23
18 January 2021 08:54:00,6.81
18 January 2021 14:34:00,1.38
18 January 2021 21:13:00,6.45
19 January 2021 02:49:00,1.54
19 January 2021 09:29:00,6.47
19 January 2021 15:13:00,1.71
19 January 2021 21:48:00,6.12
20 January 2021 03:29:00,1.90
20 January 2021 10:06:00,6.11
20 January 2021 15:55:00,2.05
20 January 2021 22:28:00,5.81
21 January 2021 04:14:00,2.25
21 January 2021 10:49:00,5.76
21 January 2021 16:43:00,2.38
21 January 2021 23:16:00,5.50
22 January 2021 05:08:00,2.57
22 January 2021 11:42:00,5.44
22 January 2021 17:43:00,2.65
23 January 2021 00:18:00,5.29
23 January 2021 06:16:00,2.78
23 January 2021 12:49:00,5.26
23 January 2021 18:53:00,2.76
24 January 2021 01:29:00,5.26
24 January 2021 07:31:00,2.79
24 January 2021 14:05:00,5.28
24 January 2021 20:06:00,2.66
25 January 2021 02:43:00,5.44
25 January 2021 08:43:00,2.58
25 January 2021 15:16:00,5.50
25 January 2021 21:10:00,2.38
26 January 2021 03:47:00,5.79
26 January 2021 09:40:00,2.22
26 January 2021 16:14:00,5.84
26 January 2021 21:59:00,2.00
27 January 2021 04:39:00,6.21
27 January 2021 10:25:00,1.81
27 January 2021 17:02:00,6.23
27 January 2021 22:41:00,1.59
