St Marys
GMT (+0:00)
Date/Time,Height(m)
01 January 2020 02:28:00,1.66
01 January 2020 08:31:00,4.85
01 January 2020 14:58:00,1.69
01 January 2020 20:56:00,4.50
02 January 2020 03:11:00,1.88
02 January 2020 09:17:00,4.63
02 January 2020 15:46:00,1.89
02 January 2020 21:46:00,4.31
03 January 2020 04:02:00,2.06
03 January 2020 10:10:00,4.44
03 January 2020 16:39:00,2.03
03 January 2020 22:43:00,4.19
04 January 2020 05:00:00,2.18
04 January 2020 11:10:00,4.33
04 January 2020 17:42:00,2.10
04 January 2020 23:49:00,4.17
05 January 2020 06:08:00,2.19
05 January 2020 12:18:00,4.33
05 January 2020 18:48:00,2.05
06 January 2020 00:55:00,4.28
06 January 2020 07:16:00,2.07
06 January 2020 13:22:00,4.44
06 January 2020 19:49:00,1.90
07 January 2020 01:54:00,4.49
07 January 2020 08:15:00,1.85
07 January 2020 14:17:00,4.65
07 January 2020 20:42:00,1.68
08 January 2020 02:44:00,4.78
08 January 2020 09:08:00,1.57
08 January 2020 15:06:00,4.90
08 January 2020 21:30:00,1.42
09 January 2020 03:29:00,5.09
09 January 2020 09:55:00,1.28
09 January 2020 15:51:00,5.15
09 January 2020 22:15:00,1.17
10 January 2020 04:12:00,5.39
10 January 2020 10:40:00,1.02
10 January 2020 16:34:00,5.37
10 January 2020 22:58:00,0.96
11 January 2020 04:54:00,5.65
11 January 2020 11:24:00,0.80
11 January 2020 17:16:00,5.54
11 January 2020 23:40:00,0.80
12 January 2020 05:37:00,5.83
12 January 2020 12:08:00,0.68
12 January 2020 18:00:00,5.61
13 January 2020 00:25:00,0.74
13 January 2020 06:21:00,5.89
13 January 2020 12:52:00,0.66
13 January 2020 18:44:00,5.59
14 January 2020 01:07:00,0.78
14 January 2020 07:05:00,5.83
14 January 2020 13:37:00,0.75
14 January 2020 19:30:00,5.47
15 January 2020 01:54:00,0.90
15 January 2020 07:53:00,5.67
15 January 2020 14:25:00,0.93
15 January 2020 20:19:00,5.27
16 January 2020 02:43:00,1.12
16 January 2020 08:44:00,5.41
16 January 2020 15:17:00,1.18
16 January 2020 21:14:00,5.02
17 January 2020 03:38:00,1.38
17 January 2020 09:42:00,5.12
17 January 2020 16:15:00,1.44
17 January 2020 22:17:00,4.79
18 January 2020 04:40:00,1.62
18 January 2020 10:47:00,4.85
18 January 2020 17:20:00,1.66
18 January 2020 23:25:00,4.61
19 January 2020 05:51:00,1.79
19 January 2020 12:00:00,4.68
19 January 2020 18:33:00,1.75
20 January 2020 00:41:00,4.59
20 January 2020 07:07:00,1.80
20 January 2020 13:14:00,4.65
20 January 2020 19:43:00,1.74
21 January 2020 01:50:00,4.67
21 January 2020 08:17:00,1.71
21 January 2020 14:20:00,4.73
21 January 2020 20:46:00,1.61
22 January 2020 02:49:00,4.87
22 January 2020 09:16:00,1.52
22 January 2020 15:15:00,4.88
22 January 2020 21:38:00,1.46
23 January 2020 03:39:00,5.07
23 January 2020 10:05:00,1.33
23 January 2020 16:02:00,5.05
23 January 2020 22:24:00,1.29
24 January 2020 04:21:00,5.27
24 January 2020 10:48:00,1.16
24 January 2020 16:42:00,5.17
24 January 2020 23:03:00,1.17
25 January 2020 05:00:00,5.40
25 January 2020 11:28:00,1.06
25 January 2020 17:21:00,5.26
25 January 2020 23:42:00,1.10
26 January 2020 05:38:00,5.49
26 January 2020 12:05:00,1.00
26 January 2020 17:57:00,5.28
27 January 2020 00:17:00,1.08
27 January 2020 06:12:00,5.49
27 January 2020 12:39:00,1.02
27 January 2020 18:30:00,5.24
28 January 2020 00:50:00,1.13
28 January 2020 06:46:00,5.43
28 January 2020 13:13:00,1.11
28 January 2020 19:05:00,5.14
29 January 2020 01:24:00,1.23
29 January 2020 07:21:00,5.30
29 January 2020 13:47:00,1.25
29 January 2020 19:40:00,4.99
30 January 2020 01:58:00,1.39
30 January 2020 07:56:00,5.12
30 January 2020 14:22:00,1.43
30 January 2020 20:16:00,4.81
31 January 2020 02:33:00,1.57
31 January 2020 08:34:00,4.91
31 January 2020 14:59:00,1.63
31 January 2020 20:54:00,4.61
01 February 2020 03:11:00,1.78
01 February 2020 09:15:00,4.68
01 February 2020 15:41:00,1.84
01 February 2020 21:41:00,4.41
02 February 2020 03:59:00,1.98
02 February 2020 10:06:00,4.45
02 February 2020 16:34:00,2.04
02 February 2020 22:39:00,4.25
03 February 2020 05:00:00,2.14
03 February 2020 11:10:00,4.29
03 February 2020 17:39:00,2.15
03 February 2020 23:49:00,4.19
04 February 2020 06:14:00,2.18
04 February 2020 12:26:00,4.26
04 February 2020 18:54:00,2.11
05 February 2020 01:05:00,4.31
05 February 2020 07:32:00,2.03
05 February 2020 13:40:00,4.41
05 February 2020 20:05:00,1.91
06 February 2020 02:12:00,4.60
06 February 2020 08:39:00,1.73
06 February 2020 14:41:00,4.70
06 February 2020 21:04:00,1.60
07 February 2020 03:07:00,4.98
07 February 2020 09:35:00,1.36
07 February 2020 15:33:00,5.04
07 February 2020 21:56:00,1.24
08 February 2020 03:55:00,5.39
08 February 2020 10:25:00,0.98
08 February 2020 16:20:00,5.39
08 February 2020 22:44:00,0.91
09 February 2020 04:41:00,5.77
09 February 2020 11:12:00,0.66
09 February 2020 17:04:00,5.68
09 February 2020 23:28:00,0.63
10 February 2020 05:23:00,6.05
10 February 2020 11:55:00,0.45
10 February 2020 17:46:00,5.86
11 February 2020 00:11:00,0.48
11 February 2020 06:06:00,6.18
11 February 2020 12:39:00,0.38
11 February 2020 18:29:00,5.91
12 February 2020 00:55:00,0.47
12 February 2020 06:50:00,6.15
12 February 2020 13:22:00,0.46
12 February 2020 19:12:00,5.81
13 February 2020 01:38:00,0.59
13 February 2020 07:34:00,5.95
13 February 2020 14:06:00,0.68
13 February 2020 19:58:00,5.57
14 February 2020 02:24:00,0.86
14 February 2020 08:22:00,5.61
14 February 2020 14:53:00,1.00
14 February 2020 20:48:00,5.25
15 February 2020 03:13:00,1.19
15 February 2020 09:14:00,5.21
15 February 2020 15:43:00,1.37
15 February 2020 21:42:00,4.89
16 February 2020 04:08:00,1.56
16 February 2020 10:13:00,4.80
16 February 2020 16:42:00,1.73
16 February 2020 22:48:00,4.57
17 February 2020 05:16:00,1.88
17 February 2020 11:27:00,4.47
17 February 2020 17:57:00,1.98
18 February 2020 00:10:00,4.39
18 February 2020 06:40:00,2.03
18 February 2020 12:51:00,4.33
18 February 2020 19:18:00,2.05
19 February 2020 01:30:00,4.41
19 February 2020 08:01:00,1.97
19 February 2020 14:08:00,4.41
19 February 2020 20:31:00,1.93
20 February 2020 02:38:00,4.60
20 February 2020 09:05:00,1.76
20 February 2020 15:07:00,4.61
20 February 2020 21:27:00,1.71
21 February 2020 03:29:00,4.86
21 February 2020 09:55:00,1.50
21 February 2020 15:52:00,4.85
21 February 2020 22:12:00,1.47
22 February 2020 04:10:00,5.12
22 February 2020 10:36:00,1.28
22 February 2020 16:30:00,5.06
22 February 2020 22:49:00,1.27
23 February 2020 04:45:00,5.33
23 February 2020 11:11:00,1.10
23 February 2020 17:04:00,5.23
23 February 2020 23:24:00,1.11
24 February 2020 05:19:00,5.48
24 February 2020 11:45:00,0.98
24 February 2020 17:36:00,5.34
24 February 2020 23:56:00,1.02
25 February 2020 05:50:00,5.56
25 February 2020 12:16:00,0.93
25 February 2020 18:07:00,5.38
26 February 2020 00:27:00,0.99
26 February 2020 06:21:00,5.55
26 February 2020 12:47:00,0.96
26 February 2020 18:37:00,5.33
27 February 2020 00:57:00,1.05
27 February 2020 06:52:00,5.46
27 February 2020 13:17:00,1.07
27 February 2020 19:08:00,5.23
28 February 2020 01:28:00,1.16
28 February 2020 07:24:00,5.32
28 February 2020 13:47:00,1.22
28 February 2020 19:40:00,5.08
29 February 2020 01:59:00,1.33
29 February 2020 07:56:00,5.10
29 February 2020 14:19:00,1.44
29 February 2020 20:14:00,4.85
01 March 2020 02:33:00,1.57
01 March 2020 08:33:00,4.82
01 March 2020 14:56:00,1.69
01 March 2020 20:54:00,4.61
02 March 2020 03:15:00,1.81
02 March 2020 09:18:00,4.55
02 March 2020 15:41:00,1.94
02 March 2020 21:44:00,4.39
03 March 2020 04:08:00,2.04
03 March 2020 10:18:00,4.30
03 March 2020 16:43:00,2.14
03 March 2020 22:55:00,4.24
04 March 2020 05:26:00,2.17
04 March 2020 11:40:00,4.18
04 March 2020 18:08:00,2.21
05 March 2020 00:24:00,4.27
05 March 2020 06:57:00,2.09
05 March 2020 13:08:00,4.28
05 March 2020 19:32:00,2.03
06 March 2020 01:42:00,4.54
06 March 2020 08:14:00,1.77
06 March 2020 14:19:00,4.61
06 March 2020 20:41:00,1.67
07 March 2020 02:45:00,4.98
07 March 2020 09:16:00,1.33
07 March 2020 15:15:00,5.05
07 March 2020 21:37:00,1.22
08 March 2020 03:36:00,5.48
08 March 2020 10:07:00,0.88
08 March 2020 16:01:00,5.48
08 March 2020 22:25:00,0.81
09 March 2020 04:21:00,5.90
09 March 2020 10:53:00,0.52
09 March 2020 16:45:00,5.84
09 March 2020 23:11:00,0.48
10 March 2020 05:05:00,6.21
10 March 2020 11:37:00,0.29
10 March 2020 17:27:00,6.07
10 March 2020 23:54:00,0.30
11 March 2020 05:47:00,6.34
11 March 2020 12:19:00,0.22
11 March 2020 18:09:00,6.13
12 March 2020 00:36:00,0.27
12 March 2020 06:29:00,6.29
12 March 2020 13:00:00,0.31
12 March 2020 18:50:00,6.03
13 March 2020 01:18:00,0.41
13 March 2020 07:12:00,6.05
13 March 2020 13:42:00,0.57
13 March 2020 19:34:00,5.76
14 March 2020 02:02:00,0.73
14 March 2020 07:58:00,5.65
14 March 2020 14:26:00,0.95
14 March 2020 20:21:00,5.37
15 March 2020 02:48:00,1.13
15 March 2020 08:47:00,5.17
15 March 2020 15:14:00,1.40
15 March 2020 21:14:00,4.93
16 March 2020 03:42:00,1.58
16 March 2020 09:45:00,4.68
16 March 2020 16:10:00,1.83
16 March 2020 22:17:00,4.53
17 March 2020 04:47:00,1.96
17 March 2020 10:58:00,4.29
17 March 2020 17:23:00,2.16
17 March 2020 23:39:00,4.26
18 March 2020 06:15:00,2.17
18 March 2020 12:31:00,4.12
18 March 2020 18:57:00,2.26
19 March 2020 01:12:00,4.25
19 March 2020 07:46:00,2.10
19 March 2020 13:56:00,4.23
19 March 2020 20:15:00,2.11
20 March 2020 02:22:00,4.46
20 March 2020 08:50:00,1.87
20 March 2020 14:53:00,4.48
20 March 2020 21:10:00,1.86
21 March 2020 03:11:00,4.74
21 March 2020 09:37:00,1.59
21 March 2020 15:35:00,4.75
21 March 2020 21:52:00,1.58
22 March 2020 03:49:00,5.02
22 March 2020 10:15:00,1.33
