Penzance(Newlyn)
GMT (+0:00)
Date/Time,Height(m)
01 January 2020 02:39:00,1.64
01 January 2020 08:26:00,4.82
01 January 2020 15:08:00,1.68
01 January 2020 20:51:00,4.48
02 January 2020 03:22:00,1.86
02 January 2020 09:13:00,4.60
02 January 2020 15:55:00,1.87
02 January 2020 21:43:00,4.30
03 January 2020 04:11:00,2.05
03 January 2020 10:06:00,4.43
03 January 2020 16:47:00,2.02
03 January 2020 22:40:00,4.18
04 January 2020 05:08:00,2.17
04 January 2020 11:07:00,4.32
04 January 2020 17:49:00,2.09
04 January 2020 23:45:00,4.15
05 January 2020 06:15:00,2.19
05 January 2020 12:13:00,4.31
05 January 2020 18:54:00,2.05
06 January 2020 00:51:00,4.24
06 January 2020 07:22:00,2.09
06 January 2020 13:16:00,4.41
06 January 2020 19:56:00,1.90
07 January 2020 01:49:00,4.44
07 January 2020 08:23:00,1.87
07 January 2020 14:11:00,4.60
07 January 2020 20:51:00,1.67
08 January 2020 02:38:00,4.71
08 January 2020 09:17:00,1.60
08 January 2020 14:59:00,4.83
08 January 2020 21:40:00,1.41
09 January 2020 03:22:00,5.01
09 January 2020 10:05:00,1.30
09 January 2020 15:43:00,5.08
09 January 2020 22:26:00,1.16
10 January 2020 04:04:00,5.30
10 January 2020 10:51:00,1.03
10 January 2020 16:24:00,5.29
10 January 2020 23:09:00,0.94
11 January 2020 04:45:00,5.55
11 January 2020 11:35:00,0.80
11 January 2020 17:05:00,5.46
11 January 2020 23:53:00,0.77
12 January 2020 05:26:00,5.73
12 January 2020 12:20:00,0.67
12 January 2020 17:49:00,5.54
13 January 2020 00:37:00,0.71
13 January 2020 06:10:00,5.80
13 January 2020 13:04:00,0.65
13 January 2020 18:32:00,5.52
14 January 2020 01:20:00,0.74
14 January 2020 06:55:00,5.75
14 January 2020 13:49:00,0.72
14 January 2020 19:19:00,5.42
15 January 2020 02:06:00,0.87
15 January 2020 07:43:00,5.61
15 January 2020 14:36:00,0.90
15 January 2020 20:10:00,5.22
16 January 2020 02:55:00,1.09
16 January 2020 08:36:00,5.36
16 January 2020 15:28:00,1.14
16 January 2020 21:06:00,4.99
17 January 2020 03:49:00,1.35
17 January 2020 09:35:00,5.08
17 January 2020 16:25:00,1.40
17 January 2020 22:10:00,4.76
18 January 2020 04:50:00,1.61
18 January 2020 10:41:00,4.82
18 January 2020 17:29:00,1.63
18 January 2020 23:19:00,4.58
19 January 2020 06:00:00,1.78
19 January 2020 11:54:00,4.65
19 January 2020 18:41:00,1.73
20 January 2020 00:34:00,4.55
20 January 2020 07:15:00,1.81
20 January 2020 13:07:00,4.61
20 January 2020 19:51:00,1.73
21 January 2020 01:44:00,4.62
21 January 2020 08:25:00,1.73
21 January 2020 14:13:00,4.68
21 January 2020 20:55:00,1.61
22 January 2020 02:43:00,4.79
22 January 2020 09:25:00,1.55
22 January 2020 15:07:00,4.82
22 January 2020 21:48:00,1.45
23 January 2020 03:32:00,4.99
23 January 2020 10:15:00,1.36
23 January 2020 15:53:00,4.97
23 January 2020 22:34:00,1.28
24 January 2020 04:14:00,5.18
24 January 2020 10:59:00,1.18
24 January 2020 16:34:00,5.10
24 January 2020 23:15:00,1.16
25 January 2020 04:52:00,5.31
25 January 2020 11:39:00,1.07
25 January 2020 17:12:00,5.18
25 January 2020 23:54:00,1.08
