Porthleven
GMT (+0:00)
Date/Time,Height(m)
01 January 2020 02:42:00,1.54
01 January 2020 08:34:00,4.71
01 January 2020 15:12:00,1.57
01 January 2020 20:59:00,4.35
02 January 2020 03:24:00,1.75
02 January 2020 09:21:00,4.51
02 January 2020 15:59:00,1.76
02 January 2020 21:49:00,4.18
03 January 2020 04:13:00,1.92
03 January 2020 10:13:00,4.35
03 January 2020 16:51:00,1.90
03 January 2020 22:45:00,4.07
04 January 2020 05:09:00,2.03
04 January 2020 11:12:00,4.24
04 January 2020 17:52:00,1.97
04 January 2020 23:49:00,4.04
05 January 2020 06:15:00,2.05
05 January 2020 12:17:00,4.23
05 January 2020 18:56:00,1.93
06 January 2020 00:54:00,4.13
06 January 2020 07:21:00,1.95
06 January 2020 13:20:00,4.33
06 January 2020 19:57:00,1.79
07 January 2020 01:52:00,4.33
07 January 2020 08:22:00,1.74
07 January 2020 14:15:00,4.50
07 January 2020 20:50:00,1.58
08 January 2020 02:41:00,4.59
08 January 2020 09:16:00,1.48
08 January 2020 15:04:00,4.72
08 January 2020 21:40:00,1.33
09 January 2020 03:26:00,4.88
09 January 2020 10:05:00,1.19
09 January 2020 15:49:00,4.94
09 January 2020 22:26:00,1.09
10 January 2020 04:10:00,5.16
10 January 2020 10:52:00,0.93
10 January 2020 16:31:00,5.14
10 January 2020 23:10:00,0.88
11 January 2020 04:51:00,5.40
11 January 2020 11:37:00,0.71
11 January 2020 17:13:00,5.29
11 January 2020 23:54:00,0.71
12 January 2020 05:34:00,5.58
12 January 2020 12:22:00,0.58
12 January 2020 17:57:00,5.35
13 January 2020 00:39:00,0.65
13 January 2020 06:18:00,5.64
13 January 2020 13:07:00,0.56
13 January 2020 18:41:00,5.33
14 January 2020 01:22:00,0.68
14 January 2020 07:03:00,5.61
14 January 2020 13:52:00,0.64
14 January 2020 19:28:00,5.23
15 January 2020 02:09:00,0.79
15 January 2020 07:52:00,5.48
15 January 2020 14:40:00,0.81
15 January 2020 20:18:00,5.06
16 January 2020 02:57:00,0.99
16 January 2020 08:45:00,5.25
16 January 2020 15:32:00,1.05
16 January 2020 21:14:00,4.84
17 January 2020 03:51:00,1.24
17 January 2020 09:43:00,4.99
17 January 2020 16:29:00,1.30
17 January 2020 22:17:00,4.63
18 January 2020 04:53:00,1.47
18 January 2020 10:48:00,4.74
18 January 2020 17:32:00,1.52
18 January 2020 23:25:00,4.47
19 January 2020 06:01:00,1.64
19 January 2020 12:00:00,4.57
19 January 2020 18:43:00,1.62
20 January 2020 00:38:00,4.45
20 January 2020 07:15:00,1.67
20 January 2020 13:11:00,4.53
20 January 2020 19:51:00,1.62
21 January 2020 01:47:00,4.51
21 January 2020 08:24:00,1.59
21 January 2020 14:17:00,4.58
21 January 2020 20:55:00,1.51
22 January 2020 02:46:00,4.68
22 January 2020 09:24:00,1.42
22 January 2020 15:12:00,4.70
22 January 2020 21:47:00,1.37
23 January 2020 03:36:00,4.86
23 January 2020 10:15:00,1.24
23 January 2020 15:59:00,4.84
23 January 2020 22:34:00,1.21
24 January 2020 04:19:00,5.05
24 January 2020 10:59:00,1.08
24 January 2020 16:40:00,4.95
24 January 2020 23:15:00,1.10
25 January 2020 04:58:00,5.17
25 January 2020 11:40:00,0.98
25 January 2020 17:19:00,5.02
25 January 2020 23:55:00,1.02
26 January 2020 05:36:00,5.25
26 January 2020 12:18:00,0.93
26 January 2020 17:55:00,5.04
27 January 2020 00:30:00,1.00
27 January 2020 06:11:00,5.27
27 January 2020 12:53:00,0.94
27 January 2020 18:29:00,5.00
28 January 2020 01:03:00,1.04
28 January 2020 06:46:00,5.21
28 January 2020 13:27:00,1.02
28 January 2020 19:05:00,4.92
29 January 2020 01:38:00,1.14
29 January 2020 07:22:00,5.10
29 January 2020 14:02:00,1.16
29 January 2020 19:41:00,4.78
30 January 2020 02:12:00,1.29
30 January 2020 07:59:00,4.94
30 January 2020 14:37:00,1.33
30 January 2020 20:18:00,4.62
31 January 2020 02:47:00,1.46
31 January 2020 08:37:00,4.76
31 January 2020 15:13:00,1.52
31 January 2020 20:58:00,4.45
01 February 2020 03:25:00,1.65
01 February 2020 09:20:00,4.55
01 February 2020 15:55:00,1.72
01 February 2020 21:45:00,4.27
02 February 2020 04:12:00,1.84
02 February 2020 10:11:00,4.35
02 February 2020 16:47:00,1.90
02 February 2020 22:42:00,4.13
03 February 2020 05:10:00,1.99
03 February 2020 11:13:00,4.20
03 February 2020 17:50:00,2.01
03 February 2020 23:49:00,4.08
04 February 2020 06:21:00,2.02
04 February 2020 12:26:00,4.17
04 February 2020 19:02:00,1.98
05 February 2020 01:03:00,4.18
05 February 2020 07:38:00,1.90
05 February 2020 13:37:00,4.29
05 February 2020 20:12:00,1.79
06 February 2020 02:08:00,4.44
06 February 2020 08:45:00,1.62
06 February 2020 14:38:00,4.53
06 February 2020 21:12:00,1.50
07 February 2020 03:03:00,4.79
07 February 2020 09:44:00,1.26
07 February 2020 15:29:00,4.84
07 February 2020 22:06:00,1.16
08 February 2020 03:51:00,5.17
08 February 2020 10:36:00,0.89
08 February 2020 16:16:00,5.14
08 February 2020 22:56:00,0.83
09 February 2020 04:36:00,5.51
09 February 2020 11:25:00,0.58
09 February 2020 16:59:00,5.40
09 February 2020 23:42:00,0.55
10 February 2020 05:19:00,5.78
10 February 2020 12:10:00,0.36
10 February 2020 17:41:00,5.56
11 February 2020 00:26:00,0.40
11 February 2020 06:02:00,5.91
11 February 2020 12:54:00,0.29
11 February 2020 18:25:00,5.61
12 February 2020 01:11:00,0.37
12 February 2020 06:47:00,5.89
12 February 2020 13:38:00,0.36
12 February 2020 19:09:00,5.54
13 February 2020 01:54:00,0.48
13 February 2020 07:32:00,5.72
13 February 2020 14:22:00,0.57
13 February 2020 19:57:00,5.33
14 February 2020 02:40:00,0.74
14 February 2020 08:22:00,5.42
14 February 2020 15:09:00,0.89
14 February 2020 20:48:00,5.06
15 February 2020 03:28:00,1.05
15 February 2020 09:16:00,5.06
15 February 2020 15:58:00,1.24
15 February 2020 21:44:00,4.74
16 February 2020 04:21:00,1.41
16 February 2020 10:15:00,4.69
16 February 2020 16:56:00,1.59
16 February 2020 22:49:00,4.45
17 February 2020 05:27:00,1.71
17 February 2020 11:28:00,4.38
17 February 2020 18:07:00,1.84
18 February 2020 00:09:00,4.28
18 February 2020 06:47:00,1.87
18 February 2020 12:49:00,4.23
18 February 2020 19:25:00,1.92
19 February 2020 01:27:00,4.28
19 February 2020 08:05:00,1.84
19 February 2020 14:04:00,4.27
19 February 2020 20:37:00,1.82
20 February 2020 02:34:00,4.44
20 February 2020 09:12:00,1.66
20 February 2020 15:04:00,4.44
20 February 2020 21:34:00,1.62
21 February 2020 03:25:00,4.67
21 February 2020 10:03:00,1.42
21 February 2020 15:50:00,4.64
21 February 2020 22:21:00,1.40
22 February 2020 04:07:00,4.90
22 February 2020 10:46:00,1.20
22 February 2020 16:27:00,4.83
22 February 2020 23:00:00,1.21
23 February 2020 04:43:00,5.09
23 February 2020 11:23:00,1.03
23 February 2020 17:02:00,4.98
23 February 2020 23:36:00,1.05
24 February 2020 05:17:00,5.24
24 February 2020 11:58:00,0.91
24 February 2020 17:34:00,5.08
25 February 2020 00:09:00,0.95
25 February 2020 05:48:00,5.32
25 February 2020 12:30:00,0.86
25 February 2020 18:05:00,5.12
26 February 2020 00:41:00,0.92
26 February 2020 06:20:00,5.32
26 February 2020 13:01:00,0.89
26 February 2020 18:37:00,5.08
27 February 2020 01:12:00,0.97
27 February 2020 06:52:00,5.24
27 February 2020 13:32:00,0.99
27 February 2020 19:09:00,5.00
28 February 2020 01:43:00,1.07
28 February 2020 07:25:00,5.11
28 February 2020 14:03:00,1.13
28 February 2020 19:41:00,4.86
29 February 2020 02:14:00,1.23
29 February 2020 07:59:00,4.92
29 February 2020 14:35:00,1.35
29 February 2020 20:17:00,4.67
01 March 2020 02:48:00,1.45
01 March 2020 08:38:00,4.68
01 March 2020 15:12:00,1.58
01 March 2020 20:58:00,4.46
02 March 2020 03:29:00,1.67
02 March 2020 09:24:00,4.43
02 March 2020 15:56:00,1.81
02 March 2020 21:49:00,4.27
03 March 2020 04:22:00,1.88
03 March 2020 10:23:00,4.22
03 March 2020 16:56:00,2.00
03 March 2020 22:57:00,4.15
04 March 2020 05:35:00,2.00
04 March 2020 11:42:00,4.10
04 March 2020 18:16:00,2.06
05 March 2020 00:22:00,4.17
05 March 2020 07:03:00,1.93
05 March 2020 13:05:00,4.17
05 March 2020 19:37:00,1.91
06 March 2020 01:38:00,4.41
06 March 2020 08:20:00,1.65
06 March 2020 14:15:00,4.45
06 March 2020 20:48:00,1.57
07 March 2020 02:40:00,4.80
07 March 2020 09:24:00,1.23
07 March 2020 15:10:00,4.83
07 March 2020 21:47:00,1.14
08 March 2020 03:31:00,5.25
08 March 2020 10:18:00,0.80
08 March 2020 15:56:00,5.21
08 March 2020 22:37:00,0.74
09 March 2020 04:16:00,5.64
09 March 2020 11:06:00,0.44
09 March 2020 16:40:00,5.54
09 March 2020 23:25:00,0.40
10 March 2020 05:00:00,5.93
10 March 2020 11:52:00,0.20
10 March 2020 17:22:00,5.74
11 March 2020 00:09:00,0.21
11 March 2020 05:42:00,6.05
11 March 2020 12:35:00,0.13
