Lizard Point
GMT (+0:00)
Date/Time,Height(m)
01 January 2021 00:17:00,0.98
01 January 2021 06:08:00,5.16
01 January 2021 12:41:00,0.82
01 January 2021 18:31:00,4.93
02 January 2021 00:56:00,0.98
02 January 2021 06:47:00,5.18
02 January 2021 13:22:00,0.82
02 January 2021 19:12:00,4.90
03 January 2021 01:36:00,1.02
03 January 2021 07:29:00,5.16
03 January 2021 14:05:00,0.89
03 January 2021 19:56:00,4.80
04 January 2021 02:20:00,1.12
04 January 2021 08:14:00,5.07
04 January 2021 14:50:00,1.01
04 January 2021 20:42:00,4.69
05 January 2021 03:06:00,1.24
05 January 2021 09:03:00,4.95
05 January 2021 15:41:00,1.16
05 January 2021 21:37:00,4.57
06 January 2021 04:01:00,1.39
06 January 2021 10:02:00,4.79
06 January 2021 16:40:00,1.33
06 January 2021 22:38:00,4.45
07 January 2021 05:03:00,1.52
07 January 2021 11:07:00,4.65
07 January 2021 17:45:00,1.45
07 January 2021 23:46:00,4.40
08 January 2021 06:13:00,1.57
08 January 2021 12:17:00,4.59
08 January 2021 18:54:00,1.47
09 January 2021 00:55:00,4.45
09 January 2021 07:25:00,1.50
09 January 2021 13:28:00,4.61
09 January 2021 20:03:00,1.40
10 January 2021 02:04:00,4.60
10 January 2021 08:35:00,1.32
10 January 2021 14:35:00,4.73
10 January 2021 21:07:00,1.24
11 January 2021 03:03:00,4.82
11 January 2021 09:36:00,1.09
11 January 2021 15:32:00,4.88
11 January 2021 22:01:00,1.06
12 January 2021 03:55:00,5.03
12 January 2021 10:30:00,0.87
12 January 2021 16:23:00,5.00
12 January 2021 22:52:00,0.91
13 January 2021 04:43:00,5.20
13 January 2021 11:19:00,0.71
13 January 2021 17:10:00,5.08
13 January 2021 23:38:00,0.83
14 January 2021 05:28:00,5.30
14 January 2021 12:04:00,0.63
14 January 2021 17:54:00,5.10
15 January 2021 00:21:00,0.80
15 January 2021 06:11:00,5.33
15 January 2021 12:47:00,0.64
15 January 2021 18:37:00,5.05
16 January 2021 01:03:00,0.86
16 January 2021 06:53:00,5.27
16 January 2021 13:28:00,0.75
16 January 2021 19:17:00,4.93
17 January 2021 01:41:00,1.00
17 January 2021 07:33:00,5.13
17 January 2021 14:07:00,0.94
17 January 2021 19:57:00,4.77
18 January 2021 02:20:00,1.20
18 January 2021 08:14:00,4.94
18 January 2021 14:47:00,1.17
18 January 2021 20:39:00,4.57
19 January 2021 03:00:00,1.42
19 January 2021 08:56:00,4.72
19 January 2021 15:27:00,1.42
19 January 2021 21:21:00,4.37
20 January 2021 03:40:00,1.65
20 January 2021 09:39:00,4.49
20 January 2021 16:10:00,1.66
20 January 2021 22:08:00,4.18
21 January 2021 04:27:00,1.87
21 January 2021 10:30:00,4.27
21 January 2021 17:01:00,1.88
21 January 2021 23:04:00,4.02
22 January 2021 05:23:00,2.04
22 January 2021 11:31:00,4.10
22 January 2021 18:03:00,2.02
23 January 2021 00:10:00,3.94
23 January 2021 06:31:00,2.11
23 January 2021 12:39:00,4.03
23 January 2021 19:08:00,2.05
24 January 2021 01:15:00,3.98
24 January 2021 07:40:00,2.04
24 January 2021 13:46:00,4.08
24 January 2021 20:14:00,1.95
25 January 2021 02:18:00,4.14
25 January 2021 08:44:00,1.85
25 January 2021 14:47:00,4.23
25 January 2021 21:12:00,1.76
26 January 2021 03:12:00,4.37
26 January 2021 09:39:00,1.58
26 January 2021 15:38:00,4.44
26 January 2021 22:00:00,1.52
27 January 2021 03:56:00,4.64
27 January 2021 10:26:00,1.29
27 January 2021 16:20:00,4.66
27 January 2021 22:43:00,1.27
28 January 2021 04:36:00,4.91
28 January 2021 11:08:00,1.00
28 January 2021 17:00:00,4.86
28 January 2021 23:24:00,1.03
29 January 2021 05:15:00,5.16
29 January 2021 11:49:00,0.75
29 January 2021 17:38:00,5.04
30 January 2021 00:04:00,0.81
30 January 2021 05:53:00,5.36
30 January 2021 12:29:00,0.57
30 January 2021 18:16:00,5.14
31 January 2021 00:43:00,0.70
31 January 2021 06:32:00,5.46
31 January 2021 13:09:00,0.51
31 January 2021 18:56:00,5.17
01 February 2021 01:23:00,0.66
01 February 2021 07:13:00,5.48
01 February 2021 13:50:00,0.54
01 February 2021 19:37:00,5.13
02 February 2021 02:05:00,0.72
02 February 2021 07:56:00,5.38
02 February 2021 14:33:00,0.69
02 February 2021 20:21:00,5.00
03 February 2021 02:49:00,0.89
03 February 2021 08:43:00,5.19
03 February 2021 15:18:00,0.93
03 February 2021 21:09:00,4.82
04 February 2021 03:37:00,1.11
04 February 2021 09:35:00,4.94
04 February 2021 16:10:00,1.21
04 February 2021 22:05:00,4.61
05 February 2021 04:33:00,1.37
05 February 2021 10:36:00,4.66
05 February 2021 17:11:00,1.50
05 February 2021 23:11:00,4.40
06 February 2021 05:42:00,1.61
06 February 2021 11:49:00,4.42
06 February 2021 18:23:00,1.70
07 February 2021 00:28:00,4.31
07 February 2021 07:01:00,1.69
07 February 2021 13:09:00,4.33
07 February 2021 19:41:00,1.73
08 February 2021 01:46:00,4.38
08 February 2021 08:20:00,1.59
08 February 2021 14:25:00,4.41
08 February 2021 20:53:00,1.59
09 February 2021 02:54:00,4.57
09 February 2021 09:28:00,1.36
09 February 2021 15:28:00,4.59
09 February 2021 21:54:00,1.37
10 February 2021 03:50:00,4.82
10 February 2021 10:23:00,1.09
10 February 2021 16:18:00,4.78
10 February 2021 22:43:00,1.15
11 February 2021 04:36:00,5.04
11 February 2021 11:10:00,0.87
11 February 2021 17:02:00,4.94
11 February 2021 23:27:00,0.96
12 February 2021 05:17:00,5.21
12 February 2021 11:52:00,0.72
12 February 2021 17:41:00,5.05
13 February 2021 00:06:00,0.84
13 February 2021 05:55:00,5.31
13 February 2021 12:30:00,0.65
13 February 2021 18:17:00,5.08
14 February 2021 00:43:00,0.81
14 February 2021 06:31:00,5.31
14 February 2021 13:05:00,0.69
14 February 2021 18:52:00,5.04
15 February 2021 01:17:00,0.86
15 February 2021 07:06:00,5.23
15 February 2021 13:39:00,0.81
15 February 2021 19:26:00,4.94
16 February 2021 01:50:00,0.98
16 February 2021 07:41:00,5.09
16 February 2021 14:12:00,0.99
16 February 2021 20:01:00,4.78
17 February 2021 02:24:00,1.17
17 February 2021 08:17:00,4.89
17 February 2021 14:46:00,1.24
17 February 2021 20:36:00,4.59
18 February 2021 02:58:00,1.41
18 February 2021 08:54:00,4.64
18 February 2021 15:22:00,1.51
18 February 2021 21:15:00,4.37
19 February 2021 03:36:00,1.66
19 February 2021 09:36:00,4.38
19 February 2021 16:02:00,1.78
19 February 2021 21:59:00,4.16
