Coverack
GMT (+0:00)
Date/Time,Height(m)
01 January 2021 00:36:00,0.94
01 January 2021 06:20:00,5.15
01 January 2021 13:00:00,0.79
01 January 2021 18:44:00,4.95
02 January 2021 01:15:00,0.94
02 January 2021 06:59:00,5.17
02 January 2021 13:40:00,0.80
02 January 2021 19:24:00,4.91
03 January 2021 01:55:00,0.98
03 January 2021 07:41:00,5.14
03 January 2021 14:22:00,0.88
03 January 2021 20:08:00,4.83
04 January 2021 02:38:00,1.09
04 January 2021 08:26:00,5.05
04 January 2021 15:07:00,1.00
04 January 2021 20:54:00,4.72
05 January 2021 03:24:00,1.21
05 January 2021 09:16:00,4.94
05 January 2021 15:57:00,1.16
05 January 2021 21:48:00,4.60
06 January 2021 04:18:00,1.36
06 January 2021 10:14:00,4.79
06 January 2021 16:55:00,1.34
06 January 2021 22:50:00,4.48
07 January 2021 05:20:00,1.50
07 January 2021 11:20:00,4.65
07 January 2021 18:00:00,1.46
07 January 2021 23:58:00,4.44
08 January 2021 06:30:00,1.55
08 January 2021 12:30:00,4.59
08 January 2021 19:10:00,1.49
09 January 2021 01:08:00,4.49
09 January 2021 07:42:00,1.49
09 January 2021 13:42:00,4.62
09 January 2021 20:20:00,1.41
10 January 2021 02:17:00,4.62
10 January 2021 08:53:00,1.31
10 January 2021 14:49:00,4.74
10 January 2021 21:25:00,1.23
11 January 2021 03:16:00,4.83
11 January 2021 09:54:00,1.06
11 January 2021 15:45:00,4.88
11 January 2021 22:20:00,1.04
12 January 2021 04:08:00,5.03
12 January 2021 10:49:00,0.84
12 January 2021 16:37:00,5.00
12 January 2021 23:12:00,0.88
13 January 2021 04:56:00,5.19
13 January 2021 11:39:00,0.68
13 January 2021 17:23:00,5.08
13 January 2021 23:58:00,0.78
14 January 2021 05:40:00,5.28
14 January 2021 12:24:00,0.61
14 January 2021 18:07:00,5.10
15 January 2021 00:41:00,0.76
15 January 2021 06:23:00,5.30
15 January 2021 13:07:00,0.62
15 January 2021 18:49:00,5.06
16 January 2021 01:22:00,0.82
16 January 2021 07:05:00,5.25
16 January 2021 13:46:00,0.74
16 January 2021 19:29:00,4.95
17 January 2021 02:00:00,0.96
17 January 2021 07:45:00,5.12
17 January 2021 14:24:00,0.93
17 January 2021 20:09:00,4.79
18 January 2021 02:37:00,1.16
18 January 2021 08:26:00,4.94
18 January 2021 15:03:00,1.17
18 January 2021 20:51:00,4.61
19 January 2021 03:16:00,1.39
19 January 2021 09:08:00,4.72
19 January 2021 15:42:00,1.43
19 January 2021 21:32:00,4.41
20 January 2021 03:56:00,1.64
20 January 2021 09:51:00,4.50
20 January 2021 16:24:00,1.68
20 January 2021 22:19:00,4.22
21 January 2021 04:42:00,1.86
21 January 2021 10:42:00,4.28
21 January 2021 17:15:00,1.90
21 January 2021 23:15:00,4.06
22 January 2021 05:38:00,2.04
22 January 2021 11:43:00,4.11
22 January 2021 18:16:00,2.05
23 January 2021 00:21:00,3.98
23 January 2021 06:46:00,2.11
23 January 2021 12:52:00,4.05
23 January 2021 19:23:00,2.08
24 January 2021 01:28:00,4.02
24 January 2021 07:55:00,2.05
24 January 2021 14:00:00,4.10
24 January 2021 20:29:00,1.97
25 January 2021 02:31:00,4.17
25 January 2021 09:00:00,1.85
25 January 2021 15:01:00,4.26
25 January 2021 21:28:00,1.77
26 January 2021 03:25:00,4.41
26 January 2021 09:56:00,1.57
26 January 2021 15:51:00,4.47
26 January 2021 22:18:00,1.51
27 January 2021 04:10:00,4.67
27 January 2021 10:43:00,1.27
27 January 2021 16:34:00,4.68
27 January 2021 23:01:00,1.24
28 January 2021 04:49:00,4.92
28 January 2021 11:26:00,0.98
28 January 2021 17:13:00,4.88
28 January 2021 23:43:00,0.99
29 January 2021 05:28:00,5.15
29 January 2021 12:08:00,0.72
29 January 2021 17:52:00,5.04
30 January 2021 00:24:00,0.77
30 January 2021 06:06:00,5.33
30 January 2021 12:49:00,0.55
30 January 2021 18:30:00,5.14
31 January 2021 01:04:00,0.65
31 January 2021 06:45:00,5.42
31 January 2021 13:29:00,0.48
31 January 2021 19:08:00,5.17
01 February 2021 01:44:00,0.60
01 February 2021 07:25:00,5.43
01 February 2021 14:09:00,0.51
01 February 2021 19:49:00,5.13
02 February 2021 02:25:00,0.67
02 February 2021 08:08:00,5.34
02 February 2021 14:51:00,0.67
02 February 2021 20:33:00,5.01
03 February 2021 03:08:00,0.85
03 February 2021 08:55:00,5.16
03 February 2021 15:36:00,0.92
03 February 2021 21:21:00,4.84
04 February 2021 03:55:00,1.09
04 February 2021 09:47:00,4.93
04 February 2021 16:26:00,1.21
04 February 2021 22:16:00,4.64
05 February 2021 04:50:00,1.36
05 February 2021 10:48:00,4.66
05 February 2021 17:26:00,1.51
05 February 2021 23:23:00,4.44
06 February 2021 05:58:00,1.61
06 February 2021 12:01:00,4.43
06 February 2021 18:38:00,1.72
07 February 2021 00:40:00,4.34
07 February 2021 07:17:00,1.70
07 February 2021 13:23:00,4.34
07 February 2021 19:57:00,1.74
08 February 2021 01:59:00,4.40
08 February 2021 08:37:00,1.59
08 February 2021 14:39:00,4.43
08 February 2021 21:10:00,1.59
09 February 2021 03:07:00,4.59
09 February 2021 09:46:00,1.35
09 February 2021 15:42:00,4.61
