Falmouth
GMT (+0:00)
Date/Time,Height(m)
01 January 2020 03:03:00,1.35
01 January 2020 08:55:00,4.59
01 January 2020 15:31:00,1.37
01 January 2020 21:21:00,4.23
02 January 2020 03:43:00,1.59
02 January 2020 09:39:00,4.40
02 January 2020 16:15:00,1.59
02 January 2020 22:10:00,4.06
03 January 2020 04:30:00,1.80
03 January 2020 10:29:00,4.22
03 January 2020 17:06:00,1.77
03 January 2020 23:04:00,3.94
04 January 2020 05:25:00,1.95
04 January 2020 11:28:00,4.10
04 January 2020 18:06:00,1.87
05 January 2020 00:10:00,3.90
05 January 2020 06:32:00,2.01
05 January 2020 12:35:00,4.05
05 January 2020 19:13:00,1.85
06 January 2020 01:18:00,3.97
06 January 2020 07:42:00,1.92
06 January 2020 13:42:00,4.12
06 January 2020 20:17:00,1.72
07 January 2020 02:20:00,4.14
07 January 2020 08:46:00,1.70
07 January 2020 14:41:00,4.28
07 January 2020 21:14:00,1.49
08 January 2020 03:11:00,4.39
08 January 2020 09:41:00,1.40
08 January 2020 15:32:00,4.48
08 January 2020 22:05:00,1.20
09 January 2020 03:57:00,4.66
09 January 2020 10:32:00,1.07
09 January 2020 16:18:00,4.69
09 January 2020 22:52:00,0.92
10 January 2020 04:40:00,4.92
10 January 2020 11:18:00,0.75
10 January 2020 17:01:00,4.86
10 January 2020 23:37:00,0.66
11 January 2020 05:21:00,5.14
11 January 2020 12:03:00,0.48
11 January 2020 17:43:00,5.00
12 January 2020 00:21:00,0.45
12 January 2020 06:02:00,5.30
12 January 2020 12:48:00,0.31
12 January 2020 18:26:00,5.07
13 January 2020 01:06:00,0.37
13 January 2020 06:45:00,5.37
13 January 2020 13:32:00,0.26
13 January 2020 19:09:00,5.06
14 January 2020 01:48:00,0.39
14 January 2020 07:28:00,5.35
14 January 2020 14:16:00,0.33
14 January 2020 19:55:00,4.99
15 January 2020 02:33:00,0.52
15 January 2020 08:16:00,5.24
15 January 2020 15:02:00,0.52
15 January 2020 20:43:00,4.85
16 January 2020 03:20:00,0.75
16 January 2020 09:06:00,5.05
16 January 2020 15:51:00,0.79
16 January 2020 21:38:00,4.66
17 January 2020 04:12:00,1.05
17 January 2020 10:03:00,4.81
17 January 2020 16:47:00,1.09
17 January 2020 22:39:00,4.46
18 January 2020 05:11:00,1.34
18 January 2020 11:07:00,4.56
18 January 2020 17:48:00,1.37
18 January 2020 23:46:00,4.30
19 January 2020 06:19:00,1.56
19 January 2020 12:18:00,4.37
19 January 2020 19:00:00,1.52
20 January 2020 01:02:00,4.25
20 January 2020 07:34:00,1.62
20 January 2020 13:33:00,4.29
20 January 2020 20:11:00,1.54
21 January 2020 02:13:00,4.30
21 January 2020 08:47:00,1.55
21 January 2020 14:43:00,4.34
21 January 2020 21:18:00,1.43
22 January 2020 03:16:00,4.46
22 January 2020 09:49:00,1.36
22 January 2020 15:41:00,4.45
22 January 2020 22:13:00,1.26
23 January 2020 04:06:00,4.64
23 January 2020 10:41:00,1.13
23 January 2020 16:29:00,4.59
23 January 2020 23:01:00,1.06
24 January 2020 04:49:00,4.82
24 January 2020 11:26:00,0.93
24 January 2020 17:10:00,4.70
24 January 2020 23:42:00,0.92
25 January 2020 05:28:00,4.94
25 January 2020 12:07:00,0.78
25 January 2020 17:49:00,4.78
26 January 2020 00:22:00,0.81
26 January 2020 06:05:00,5.03
