Mevagissey
GMT (+0:00)
Date/Time,Height(m)
01 January 2022 03:50:00,4.99
01 January 2022 10:25:00,0.95
01 January 2022 16:18:00,4.97
01 January 2022 22:50:00,0.86
02 January 2022 04:42:00,5.24
02 January 2022 11:20:00,0.66
02 January 2022 17:11:00,5.10
02 January 2022 23:42:00,0.68
03 January 2022 05:32:00,5.41
03 January 2022 12:11:00,0.46
03 January 2022 18:01:00,5.16
04 January 2022 00:30:00,0.56
04 January 2022 06:19:00,5.50
04 January 2022 13:00:00,0.39
04 January 2022 18:48:00,5.15
05 January 2022 01:17:00,0.59
05 January 2022 07:05:00,5.49
05 January 2022 13:45:00,0.47
05 January 2022 19:34:00,5.07
06 January 2022 02:01:00,0.72
06 January 2022 07:50:00,5.38
06 January 2022 14:30:00,0.66
06 January 2022 20:19:00,4.94
07 January 2022 02:45:00,0.95
07 January 2022 08:36:00,5.20
07 January 2022 15:15:00,0.94
07 January 2022 21:06:00,4.74
08 January 2022 03:30:00,1.26
08 January 2022 09:23:00,4.94
08 January 2022 16:00:00,1.27
08 January 2022 21:54:00,4.52
09 January 2022 04:15:00,1.57
09 January 2022 10:12:00,4.67
09 January 2022 16:47:00,1.57
09 January 2022 22:45:00,4.32
10 January 2022 05:05:00,1.85
10 January 2022 11:04:00,4.41
10 January 2022 17:39:00,1.85
10 January 2022 23:43:00,4.14
11 January 2022 06:03:00,2.09
11 January 2022 12:07:00,4.20
11 January 2022 18:42:00,2.03
12 January 2022 00:51:00,4.05
12 January 2022 07:12:00,2.19
12 January 2022 13:15:00,4.10
12 January 2022 19:47:00,2.09
13 January 2022 01:57:00,4.08
13 January 2022 08:21:00,2.15
13 January 2022 14:23:00,4.11
13 January 2022 20:51:00,2.02
14 January 2022 02:58:00,4.20
14 January 2022 09:23:00,2.00
14 January 2022 15:21:00,4.20
14 January 2022 21:45:00,1.88
15 January 2022 03:48:00,4.38
15 January 2022 10:15:00,1.78
15 January 2022 16:10:00,4.34
15 January 2022 22:33:00,1.69
16 January 2022 04:31:00,4.58
16 January 2022 11:00:00,1.54
16 January 2022 16:53:00,4.50
16 January 2022 23:15:00,1.49
17 January 2022 05:10:00,4.78
17 January 2022 11:40:00,1.31
17 January 2022 17:31:00,4.63
17 January 2022 23:53:00,1.30
18 January 2022 05:45:00,4.95
18 January 2022 12:17:00,1.11
18 January 2022 18:07:00,4.74
19 January 2022 00:29:00,1.16
19 January 2022 06:20:00,5.07
19 January 2022 12:53:00,0.97
19 January 2022 18:42:00,4.81
20 January 2022 01:04:00,1.05
