Par
GMT (+0:00)
Date/Time,Height(m)
01 January 2021 00:57:00,0.93
01 January 2021 06:56:00,5.04
01 January 2021 13:20:00,0.89
01 January 2021 19:16:00,4.85
02 January 2021 01:35:00,0.93
02 January 2021 07:34:00,5.07
02 January 2021 14:00:00,0.88
02 January 2021 19:56:00,4.82
03 January 2021 02:15:00,0.97
03 January 2021 08:14:00,5.06
03 January 2021 14:42:00,0.95
03 January 2021 20:39:00,4.73
04 January 2021 02:57:00,1.10
04 January 2021 08:57:00,4.99
04 January 2021 15:26:00,1.08
04 January 2021 21:23:00,4.62
05 January 2021 03:42:00,1.25
05 January 2021 09:44:00,4.89
05 January 2021 16:16:00,1.23
05 January 2021 22:16:00,4.50
06 January 2021 04:35:00,1.43
06 January 2021 10:40:00,4.75
06 January 2021 17:14:00,1.41
06 January 2021 23:17:00,4.38
07 January 2021 05:37:00,1.61
07 January 2021 11:44:00,4.63
07 January 2021 18:20:00,1.53
08 January 2021 00:26:00,4.32
08 January 2021 06:46:00,1.69
08 January 2021 12:54:00,4.56
08 January 2021 19:30:00,1.55
09 January 2021 01:38:00,4.37
09 January 2021 08:00:00,1.65
09 January 2021 14:07:00,4.58
09 January 2021 20:41:00,1.46
10 January 2021 02:49:00,4.50
10 January 2021 09:12:00,1.47
10 January 2021 15:16:00,4.68
10 January 2021 21:46:00,1.26
11 January 2021 03:51:00,4.71
11 January 2021 10:15:00,1.22
11 January 2021 16:15:00,4.80
11 January 2021 22:42:00,1.06
12 January 2021 04:45:00,4.90
12 January 2021 11:10:00,0.98
12 January 2021 17:09:00,4.91
12 January 2021 23:34:00,0.88
13 January 2021 05:34:00,5.05
13 January 2021 11:59:00,0.79
13 January 2021 17:58:00,4.97
14 January 2021 00:19:00,0.77
14 January 2021 06:19:00,5.15
14 January 2021 12:45:00,0.70
14 January 2021 18:43:00,4.98
15 January 2021 01:02:00,0.75
15 January 2021 07:01:00,5.18
15 January 2021 13:27:00,0.70
15 January 2021 19:24:00,4.94
16 January 2021 01:43:00,0.82
16 January 2021 07:41:00,5.15
16 January 2021 14:07:00,0.80
16 January 2021 20:03:00,4.84
17 January 2021 02:20:00,0.97
17 January 2021 08:18:00,5.04
17 January 2021 14:44:00,0.99
17 January 2021 20:39:00,4.69
18 January 2021 02:57:00,1.19
18 January 2021 08:55:00,4.89
18 January 2021 15:23:00,1.23
18 January 2021 21:19:00,4.52
19 January 2021 03:35:00,1.44
19 January 2021 09:34:00,4.70
19 January 2021 16:01:00,1.49
19 January 2021 21:58:00,4.34
20 January 2021 04:12:00,1.70
20 January 2021 10:15:00,4.50
20 January 2021 16:43:00,1.74
20 January 2021 22:43:00,4.15
21 January 2021 04:57:00,1.94
21 January 2021 11:03:00,4.30
21 January 2021 17:33:00,1.97
21 January 2021 23:37:00,4.00
22 January 2021 05:52:00,2.15
22 January 2021 12:02:00,4.13
22 January 2021 18:35:00,2.12
23 January 2021 00:45:00,3.91
23 January 2021 07:00:00,2.25
23 January 2021 13:10:00,4.06
23 January 2021 19:43:00,2.14
24 January 2021 01:54:00,3.95
24 January 2021 08:12:00,2.20
24 January 2021 14:21:00,4.09
24 January 2021 20:50:00,2.03
25 January 2021 03:00:00,4.10
25 January 2021 09:20:00,2.01
25 January 2021 15:24:00,4.23
25 January 2021 21:50:00,1.81
26 January 2021 03:56:00,4.33
26 January 2021 10:17:00,1.73
26 January 2021 16:17:00,4.42
26 January 2021 22:40:00,1.55
27 January 2021 04:42:00,4.58
27 January 2021 11:04:00,1.42
27 January 2021 17:03:00,4.61
27 January 2021 23:23:00,1.27
28 January 2021 05:24:00,4.82
28 January 2021 11:48:00,1.10
28 January 2021 17:45:00,4.79
29 January 2021 00:05:00,1.00
29 January 2021 06:05:00,5.04
29 January 2021 12:29:00,0.81
29 January 2021 18:27:00,4.94
30 January 2021 00:46:00,0.76
30 January 2021 06:45:00,5.21
30 January 2021 13:10:00,0.61
30 January 2021 19:07:00,5.01
31 January 2021 01:25:00,0.64
31 January 2021 07:24:00,5.30
31 January 2021 13:49:00,0.52
31 January 2021 19:47:00,5.04
01 February 2021 02:04:00,0.60
01 February 2021 08:03:00,5.32
01 February 2021 14:30:00,0.54
01 February 2021 20:27:00,4.99
02 February 2021 02:45:00,0.68
02 February 2021 08:44:00,5.25
02 February 2021 15:11:00,0.70
02 February 2021 21:08:00,4.88
03 February 2021 03:27:00,0.88
03 February 2021 09:27:00,5.10
03 February 2021 15:55:00,0.95
03 February 2021 21:52:00,4.72
04 February 2021 04:13:00,1.15
04 February 2021 10:14:00,4.89
04 February 2021 16:45:00,1.24
04 February 2021 22:44:00,4.53
05 February 2021 05:06:00,1.46
05 February 2021 11:11:00,4.64
05 February 2021 17:44:00,1.56
05 February 2021 23:49:00,4.33
06 February 2021 06:13:00,1.74
06 February 2021 12:22:00,4.41
06 February 2021 18:57:00,1.78
07 February 2021 01:06:00,4.24
07 February 2021 07:33:00,1.86
07 February 2021 13:44:00,4.31
07 February 2021 20:17:00,1.80
08 February 2021 02:28:00,4.30
08 February 2021 08:56:00,1.77
08 February 2021 15:04:00,4.38
08 February 2021 21:32:00,1.65
09 February 2021 03:39:00,4.49
09 February 2021 10:07:00,1.51
09 February 2021 16:10:00,4.54
09 February 2021 22:34:00,1.39
10 February 2021 04:37:00,4.73
10 February 2021 11:03:00,1.21
10 February 2021 17:04:00,4.71
10 February 2021 23:24:00,1.15
11 February 2021 05:24:00,4.93
11 February 2021 11:51:00,0.96
11 February 2021 17:49:00,4.84
12 February 2021 00:09:00,0.94
12 February 2021 06:07:00,5.08
12 February 2021 12:32:00,0.77
12 February 2021 18:30:00,4.94
13 February 2021 00:48:00,0.80
13 February 2021 06:45:00,5.17
13 February 2021 13:10:00,0.68
13 February 2021 19:07:00,4.96
14 February 2021 01:24:00,0.77
14 February 2021 07:20:00,5.19
14 February 2021 13:45:00,0.70
14 February 2021 19:40:00,4.93
15 February 2021 01:57:00,0.83
15 February 2021 07:53:00,5.13
15 February 2021 14:18:00,0.81
15 February 2021 20:12:00,4.85
16 February 2021 02:29:00,0.97
16 February 2021 08:25:00,5.02
16 February 2021 14:50:00,1.00
16 February 2021 20:44:00,4.72
17 February 2021 03:01:00,1.18
17 February 2021 08:57:00,4.85
17 February 2021 15:21:00,1.26
17 February 2021 21:16:00,4.54
18 February 2021 03:32:00,1.44
18 February 2021 09:31:00,4.65
18 February 2021 15:55:00,1.54
18 February 2021 21:51:00,4.35
19 February 2021 04:08:00,1.72
19 February 2021 10:09:00,4.41
19 February 2021 16:33:00,1.83
19 February 2021 22:32:00,4.15
20 February 2021 04:50:00,2.00
20 February 2021 10:56:00,4.17
20 February 2021 17:23:00,2.11
20 February 2021 23:29:00,3.95
21 February 2021 05:51:00,2.24
21 February 2021 12:04:00,3.97
21 February 2021 18:35:00,2.28
22 February 2021 00:49:00,3.86
22 February 2021 07:15:00,2.32
22 February 2021 13:31:00,3.92
22 February 2021 20:00:00,2.26
23 February 2021 02:15:00,3.96
23 February 2021 08:42:00,2.18
23 February 2021 14:53:00,4.04
23 February 2021 21:16:00,2.05
24 February 2021 03:25:00,4.21
24 February 2021 09:50:00,1.85
24 February 2021 15:54:00,4.29
24 February 2021 22:14:00,1.70
25 February 2021 04:17:00,4.54
25 February 2021 10:43:00,1.42
25 February 2021 16:44:00,4.58
25 February 2021 23:03:00,1.29
26 February 2021 05:03:00,4.87
26 February 2021 11:29:00,0.98
26 February 2021 17:29:00,4.85
26 February 2021 23:47:00,0.88
27 February 2021 05:45:00,5.17
27 February 2021 12:12:00,0.59
27 February 2021 18:11:00,5.06
28 February 2021 00:29:00,0.56
28 February 2021 06:27:00,5.38
28 February 2021 12:52:00,0.31
28 February 2021 18:52:00,5.19
01 March 2021 01:08:00,0.33
01 March 2021 07:08:00,5.50
01 March 2021 13:32:00,0.18
01 March 2021 19:32:00,5.25
02 March 2021 01:49:00,0.27
02 March 2021 07:48:00,5.51
02 March 2021 14:12:00,0.22
02 March 2021 20:11:00,5.21
03 March 2021 02:28:00,0.37
03 March 2021 08:27:00,5.40
03 March 2021 14:51:00,0.44
03 March 2021 20:48:00,5.08
04 March 2021 03:08:00,0.63
04 March 2021 09:06:00,5.19
04 March 2021 15:32:00,0.78
04 March 2021 21:29:00,4.88
05 March 2021 03:51:00,1.00
05 March 2021 09:52:00,4.89
05 March 2021 16:19:00,1.22
05 March 2021 22:18:00,4.61
