Fowey
GMT (+0:00)
Date/Time,Height(m)
01 January 2021 00:40:00,0.70
01 January 2021 06:35:00,4.96
01 January 2021 13:05:00,0.59
01 January 2021 18:57:00,4.72
02 January 2021 01:19:00,0.69
02 January 2021 07:13:00,4.98
02 January 2021 13:44:00,0.58
02 January 2021 19:37:00,4.70
03 January 2021 01:59:00,0.73
03 January 2021 07:53:00,4.95
03 January 2021 14:26:00,0.65
03 January 2021 20:20:00,4.63
04 January 2021 02:42:00,0.85
04 January 2021 08:37:00,4.87
04 January 2021 15:10:00,0.77
04 January 2021 21:05:00,4.54
05 January 2021 03:26:00,0.99
05 January 2021 09:25:00,4.75
05 January 2021 15:59:00,0.94
05 January 2021 21:58:00,4.42
06 January 2021 04:20:00,1.18
06 January 2021 10:21:00,4.59
06 January 2021 16:56:00,1.13
06 January 2021 22:59:00,4.31
07 January 2021 05:22:00,1.35
07 January 2021 11:25:00,4.44
07 January 2021 18:00:00,1.27
08 January 2021 00:07:00,4.26
08 January 2021 06:31:00,1.43
08 January 2021 12:35:00,4.35
08 January 2021 19:10:00,1.31
09 January 2021 01:18:00,4.29
09 January 2021 07:45:00,1.39
09 January 2021 13:49:00,4.36
09 January 2021 20:22:00,1.24
10 January 2021 02:29:00,4.42
10 January 2021 08:57:00,1.21
10 January 2021 14:58:00,4.46
10 January 2021 21:28:00,1.06
11 January 2021 03:30:00,4.63
11 January 2021 10:00:00,0.95
11 January 2021 15:57:00,4.60
11 January 2021 22:24:00,0.85
12 January 2021 04:23:00,4.82
12 January 2021 10:54:00,0.70
12 January 2021 16:50:00,4.73
12 January 2021 23:16:00,0.67
13 January 2021 05:12:00,4.98
13 January 2021 11:44:00,0.51
13 January 2021 17:38:00,4.81
14 January 2021 00:02:00,0.55
14 January 2021 05:56:00,5.07
14 January 2021 12:29:00,0.41
14 January 2021 18:22:00,4.85
15 January 2021 00:46:00,0.52
15 January 2021 06:39:00,5.09
15 January 2021 13:11:00,0.40
15 January 2021 19:04:00,4.83
16 January 2021 01:27:00,0.57
16 January 2021 07:19:00,5.04
16 January 2021 13:50:00,0.50
16 January 2021 19:43:00,4.74
17 January 2021 02:04:00,0.72
17 January 2021 07:57:00,4.93
17 January 2021 14:28:00,0.69
17 January 2021 20:22:00,4.60
18 January 2021 02:42:00,0.94
18 January 2021 08:36:00,4.76
18 January 2021 15:06:00,0.93
18 January 2021 21:02:00,4.44
19 January 2021 03:20:00,1.19
19 January 2021 09:16:00,4.55
19 January 2021 15:44:00,1.20
19 January 2021 21:42:00,4.25
20 January 2021 03:59:00,1.45
20 January 2021 09:57:00,4.33
20 January 2021 16:26:00,1.46
20 January 2021 22:27:00,4.07
21 January 2021 04:43:00,1.70
21 January 2021 10:45:00,4.11
21 January 2021 17:14:00,1.70
21 January 2021 23:20:00,3.91
22 January 2021 05:39:00,1.91
22 January 2021 11:44:00,3.92
22 January 2021 18:14:00,1.87
23 January 2021 00:27:00,3.81
23 January 2021 06:46:00,2.01
23 January 2021 12:53:00,3.83
23 January 2021 19:21:00,1.92
24 January 2021 01:35:00,3.84
24 January 2021 07:58:00,1.97
24 January 2021 14:04:00,3.86
24 January 2021 20:30:00,1.83
25 January 2021 02:41:00,3.99
25 January 2021 09:06:00,1.77
25 January 2021 15:09:00,4.01
25 January 2021 21:32:00,1.62
26 January 2021 03:38:00,4.21
26 January 2021 10:03:00,1.48
26 January 2021 16:02:00,4.21
26 January 2021 22:22:00,1.35
27 January 2021 04:23:00,4.47
27 January 2021 10:50:00,1.16
27 January 2021 16:46:00,4.42
27 January 2021 23:07:00,1.06
28 January 2021 05:04:00,4.72
28 January 2021 11:32:00,0.84
28 January 2021 17:27:00,4.62
28 January 2021 23:48:00,0.78
29 January 2021 05:43:00,4.94
29 January 2021 12:14:00,0.54
29 January 2021 18:07:00,4.80
30 January 2021 00:29:00,0.53
30 January 2021 06:22:00,5.11
30 January 2021 12:53:00,0.33
30 January 2021 18:46:00,4.90
31 January 2021 01:09:00,0.40
31 January 2021 07:00:00,5.20
31 January 2021 13:33:00,0.23
31 January 2021 19:24:00,4.95
01 February 2021 01:48:00,0.34
01 February 2021 07:40:00,5.21
01 February 2021 14:13:00,0.25
01 February 2021 20:05:00,4.93
02 February 2021 02:29:00,0.42
02 February 2021 08:21:00,5.13
02 February 2021 14:54:00,0.40
02 February 2021 20:47:00,4.83
03 February 2021 03:11:00,0.61
03 February 2021 09:06:00,4.96
03 February 2021 15:38:00,0.65
03 February 2021 21:33:00,4.67
04 February 2021 03:58:00,0.88
04 February 2021 09:55:00,4.73
04 February 2021 16:27:00,0.95
04 February 2021 22:26:00,4.48
05 February 2021 04:51:00,1.19
05 February 2021 10:53:00,4.46
05 February 2021 17:25:00,1.28
05 February 2021 23:31:00,4.27
06 February 2021 05:58:00,1.48
06 February 2021 12:04:00,4.21
06 February 2021 18:36:00,1.53
07 February 2021 00:47:00,4.16
07 February 2021 07:18:00,1.61
07 February 2021 13:26:00,4.10
07 February 2021 19:57:00,1.58
08 February 2021 02:08:00,4.20
08 February 2021 08:40:00,1.52
08 February 2021 14:47:00,4.16
08 February 2021 21:13:00,1.45
09 February 2021 03:20:00,4.38
09 February 2021 09:51:00,1.26
09 February 2021 15:53:00,4.34
09 February 2021 22:17:00,1.19
10 February 2021 04:17:00,4.61
10 February 2021 10:48:00,0.96
10 February 2021 16:46:00,4.54
10 February 2021 23:08:00,0.94
11 February 2021 05:04:00,4.82
11 February 2021 11:35:00,0.70
11 February 2021 17:30:00,4.70
11 February 2021 23:52:00,0.72
12 February 2021 05:46:00,4.97
12 February 2021 12:16:00,0.50
12 February 2021 18:10:00,4.81
13 February 2021 00:32:00,0.56
13 February 2021 06:23:00,5.06
13 February 2021 12:54:00,0.41
13 February 2021 18:46:00,4.86
14 February 2021 01:08:00,0.52
14 February 2021 06:59:00,5.07
14 February 2021 13:29:00,0.42
14 February 2021 19:20:00,4.84
15 February 2021 01:42:00,0.58
15 February 2021 07:32:00,5.01
15 February 2021 14:01:00,0.53
15 February 2021 19:53:00,4.77
16 February 2021 02:14:00,0.70
16 February 2021 08:06:00,4.89
16 February 2021 14:33:00,0.71
